T,"loss, avg","loss, std","cost, avg","cost, std","mod2, avg","mod2, std","train_error, avg","train_error, std","test_error, avg","test_error, std",var_avg,var_std
1e-07,0.12546626053059445,5.347956206428203e-05,0.04268766039074107,3.611451954937163e-05,16555.720027970678,7.361992509643888,0.014334011374524357,4.158275239644581e-05,0.16720327164655852,0.0001047369034877369,4.92331025048727e-08,4.699977631193846e-09
2e-07,0.4203827360789234,6.273102342265217e-05,0.3219093835760299,1.695871107053694e-05,19694.670500578704,12.542971515473711,0.10934625902532216,3.856666681988867e-05,0.11312097570870389,7.581779901951321e-05,4.200120674538323e-10,1.2774369803494708e-10
3e-07,0.4745521343577064,0.00015812483036802002,0.3251994020322821,1.8170432663014977e-05,29870.546465084877,32.10006461971239,0.11039136475409135,3.453252752092372e-05,0.11290138727053996,8.362524778481057e-05,2.0981049404458642e-10,6.484935745147409e-11
1e-06,0.833178095798096,0.0008165403786466183,0.3313782231129108,4.962690101400749e-05,100359.97453703704,160.65932116937316,0.11245495375148074,4.336121170153132e-05,0.11346479271894984,9.32547367400369e-05,7.130898963245808e-11,1.766970433003993e-11
1e-05,5.398747382760478,0.004822916233889234,0.35772793200290337,0.000570411323250564,1008203.8901515151,982.0708754224928,0.12066354568709027,0.00012111183640577457,0.12108082211378848,0.00016747997566117755,5.587080011600539e-10,5.061404904854329e-10
0.0001,52.27281860829037,0.26452858379354044,0.4752837934755479,0.016633092884961793,10359506.962962963,52548.88764389891,0.15127757457616722,0.001009472797509216,0.15144080338700683,0.001072395763908118,3.9924656564898394e-08,5.913210072099393e-08
0.001,507.4382623907236,0.45754439728533053,0.9863665882544017,0.08831673986418923,101290379.16049382,90562.83101298468,0.28603857856266846,0.00672835037933203,0.28644052978007145,0.006809178942531031,7.394305510745524e-07,2.086981888469877e-06
