epoch,t_W,train_error,val_error,test_error
0,5.23031719844171,0.9039074049796908,0.903805601876229,0.90397456753999
1,50.65543042756474,0.1112763239070773,0.1116076186299324,0.1115693040192127
2,96.08054365668777,0.1109878635033965,0.1115163639187812,0.1116706803441047
3,141.50565688581077,0.1107143824920058,0.1115276366472244,0.1114363931119442
4,186.9307701149338,0.1105051040649414,0.1115918383002281,0.1114758029580116
5,232.35588334405685,0.1103380704298615,0.1116132326424121,0.1115940995514392
6,277.78099657317983,0.1099924035370349,0.1114566661417484,0.1114082336425781
7,323.2061098023029,0.1096918880939483,0.1115163639187812,0.1113564223051071
8,368.6312230314259,0.1096933400258421,0.1114938370883464,0.1116199977695941
9,414.05633626054896,0.1094673909246921,0.1115907132625579,0.111426256597042
10,459.481449489672,0.1092554656788706,0.1115828342735767,0.1115219891071319
11,504.906562718795,0.1092347083613276,0.1116447821259498,0.1115771941840648
12,550.331675947918,0.1091070193797349,0.1116673164069652,0.111513003706932
13,595.7567891770411,0.1088436665013432,0.1116526797413826,0.111625637859106
14,641.1819024061641,0.1087642572820186,0.1118903420865535,0.1116087399423122
15,686.6070156352872,0.1087130745872855,0.1116177551448345,0.1115929633378982
16,732.0321288644102,0.1085047721862793,0.1117101162672042,0.1116661839187145
17,777.4572420935332,0.1084477975964546,0.1118959933519363,0.1117315143346786
18,822.8823553226563,0.1083266194909811,0.1117517985403537,0.1116447784006595
19,868.3074685517793,0.1081943539902567,0.1117529161274433,0.111821636557579
20,913.7325817809024,0.1081395568326115,0.1119827218353748,0.1119951196014881
21,959.1576950100253,0.108058214187622,0.1118745766580104,0.1118689402937889
22,1004.5828082391483,0.108085973188281,0.1118937097489833,0.1119263842701911
23,1050.0079214682714,0.1079186964780092,0.1119353957474231,0.111951183527708
24,1095.4330346973943,0.1076901014894247,0.1119793392717838,0.1118993535637855
25,1140.8581479265174,0.1077127996832132,0.1121854893863201,0.112087495625019
26,1186.2832611556405,0.1075768917798996,0.1122812218964099,0.1119782179594039
27,1231.7083743847636,0.1074373805895447,0.1120379082858562,0.1119128763675689
28,1277.1334876138865,0.1074554780498147,0.1121866144239902,0.1120908595621585
29,1322.5586008430096,0.1073116166517138,0.1122046299278736,0.1121032536029815
30,1367.9837140721327,0.1072169905528426,0.1122023724019527,0.1121685914695262
31,1413.4088273012555,0.1070683030411601,0.1121956221759319,0.1122361794114112
32,1458.8339405303786,0.1071462677791714,0.1123285256326198,0.1122294180095195
33,1504.2590537595017,0.1070337938144803,0.1123882457613945,0.1125053875148296
34,1549.6841669886246,0.1069715153425931,0.1123499535024166,0.1123431697487831
35,1595.1092802177477,0.1066953651607036,0.1124884858727455,0.11236572265625
36,1640.5343934468708,0.1067762374877929,0.1125650741159915,0.112179834395647
37,1685.9595066759937,0.1066140215843916,0.1126112602651119,0.1123521886765956
38,1731.3846199051168,0.1066654352471232,0.1126822382211685,0.1125549562275409
39,1776.8097331342399,0.1064493991434574,0.1126360520720481,0.1126281805336475
40,1822.234846363363,0.1063344934955239,0.1125008724629879,0.1123251691460609
41,1867.6599595924858,0.1063663652166724,0.1127194128930568,0.112522292882204
42,1913.085072821609,0.1062176637351512,0.1125910021364688,0.1125358156859874
43,1958.510186050732,0.1061536977067589,0.1126180440187454,0.1126191578805446
44,2003.935299279855,0.1059832936152815,0.1126394383609294,0.1127486899495124
45,2049.360412508978,0.105899529531598,0.1128016524016857,0.1127318143844604
46,2094.785525738101,0.1059552887454629,0.1128602363169193,0.1126799993216991
47,2140.210638967224,0.1056924285367131,0.1129154376685619,0.1126822344958782
48,2185.635752196347,0.1056832512840628,0.1128444522619247,0.1127892322838306
49,2231.06086542547,0.1055384194478392,0.1128816194832325,0.1127013899385929
50,2276.485978654593,0.1054911091923713,0.1129210479557514,0.1129097789525985
51,2321.9110918837164,0.105533598922193,0.1130539737641811,0.1130269430577755
52,2367.3362051128393,0.1054529724642634,0.1131587252020835,0.1129345707595348
53,2412.761318341962,0.1052581826224923,0.1131125502288341,0.1130629740655422
54,2458.1864315710854,0.1052366951480507,0.1132206916809082,0.1130573488771915
55,2503.6115448002083,0.1051041735336184,0.1131519600749015,0.1130100302398204
56,2549.036658029331,0.1050488986074924,0.1132612451910972,0.1130066402256488
57,2594.4617712584545,0.1049393126741051,0.113170001655817,0.1131057813763618
58,2639.8868844875774,0.1047360654920339,0.1132274456322193,0.1129942908883094
59,2685.3119977167003,0.1047227969393134,0.1131542287766933,0.1130100302398204
60,2730.7371109458236,0.1046057222411036,0.1132274307310581,0.1131835095584392
61,2776.1622241749465,0.1044507529586553,0.1132837533950805,0.1131418347358703
62,2821.5873374040693,0.1043544448912143,0.1133682616055011,0.1130652464926242
63,2867.0124506331927,0.1043090615421533,0.1132578551769256,0.1132860332727432
64,2912.4375638623155,0.1042644092813134,0.1133367083966732,0.1132409609854221
65,2957.8626770914384,0.1040990641340613,0.11345836520195,0.1132792457938194
66,3003.2877903205617,0.1040614061057567,0.1134628728032112,0.1134144254028797
67,3048.7129035496846,0.1039042631164193,0.1135349608957767,0.1134076751768589
68,3094.1380167788075,0.103774637915194,0.1135270819067955,0.1134977824985981
69,3139.563130007931,0.1039011292159557,0.1135766468942165,0.1136588901281356
70,3184.9882432370537,0.1038161572068929,0.1137444898486137,0.1138357184827327
71,3230.4133564661765,0.1034876452758908,0.1138255894184112,0.1135563589632511
72,3275.8384696953,0.1036334335803985,0.1138548739254474,0.1136858984827995
73,3321.2635829244227,0.1031984547153115,0.1136093065142631,0.1137174479663372
74,3366.6886961535456,0.1031079422682523,0.1137760318815708,0.1135822758078575
75,3412.113809382669,0.1030632900074124,0.1137411147356033,0.1136453449726104
76,3457.538922611792,0.1029377747327089,0.1139405034482479,0.1136126816272735
77,3502.9640358409147,0.1028515947982668,0.1139596402645111,0.1137850359082222
78,3548.389149070038,0.1026606643572449,0.1138165891170501,0.1137918047606945
79,3593.814262299161,0.1026893919333815,0.1140058264136314,0.1138019412755966
80,3639.239375528284,0.1024540392681956,0.1140925548970699,0.113746739923954
81,3684.664488757407,0.1024728678166866,0.114166896790266,0.1141151003539562
82,3730.08960198653,0.1023080004379153,0.114177044481039,0.114028338342905
83,3775.5147152156533,0.1020521419122815,0.1141556538641452,0.1139078252017498
84,3820.939828444776,0.1020323438569903,0.1142694130539894,0.1140137128531932
85,3866.364941673899,0.101784685626626,0.1142896972596645,0.1141894459724426
86,3911.7900549030223,0.1016063019633293,0.1142671704292297,0.1142175905406475
87,3957.215168132145,0.1015389580279588,0.1143910624086856,0.1142998374998569
88,4002.640281361268,0.1013917159289121,0.1143460124731063,0.1142727769911289
89,4048.0653945903914,0.1012333715334534,0.114484567195177,0.1143313609063625
90,4093.4905078195143,0.1011071233078837,0.1144271232187748,0.1143775433301925
91,4138.915621048637,0.1009852308779954,0.1145949549973011,0.1144248470664024
92,4184.34073427776,0.1006743218749761,0.114715501666069,0.1144823022186756
93,4229.765847506883,0.1006929175928235,0.114812359213829,0.114689577370882
94,4275.190960736006,0.1005666749551892,0.1149126142263412,0.114681702107191
95,4320.616073965129,0.100339769385755,0.1148833371698856,0.1146659292280674
96,4366.0411871942515,0.1001667007803917,0.1147447749972343,0.1146084740757942
97,4411.466300423375,0.1000182554125785,0.1149689368903637,0.1147864572703838
98,4456.891413652498,0.0999033506959676,0.1150049790740013,0.1149114705622196
99,4502.316526881621,0.0996064571663737,0.1149103604257106,0.1148754507303237
100,4547.741640110744,0.0994753884151578,0.1150376573204994,0.1150286383926868
101,4593.166753339867,0.0993493814021349,0.1150793246924877,0.1149373911321163
102,4638.591866568991,0.0991302030161023,0.1150646843016147,0.1151029765605926
103,4684.016979798113,0.0989407198503613,0.1152471676468849,0.1149385161697864
