move,t_W,train_error,test_error
0,0.0,0.8977333307266236,0.8994000107049942
500,1.4400000000000002,0.38966667652130127,0.397599995136261
1000,2.8800000000000003,0.3484833240509033,0.3698999881744385
1500,4.32,0.33248335123062134,0.36370009183883667
2000,5.760000000000001,0.32341665029525757,0.3601000905036926
2500,7.2,0.3168500065803528,0.36260008811950684
3000,8.64,0.3032999038696289,0.3532000184059143
3500,10.08,0.22104990482330322,0.28049999475479126
4000,11.520000000000001,0.21764999628067017,0.27930009365081787
4500,12.96,0.21525001525878906,0.2803000211715698
5000,14.4,0.13048332929611206,0.19510000944137573
5500,15.840000000000002,0.12683331966400146,0.19679999351501465
6000,17.28,0.12404990196228027,0.1948000192642212
6500,18.720000000000002,0.12269997596740723,0.19290000200271606
7000,20.16,0.12145000696182251,0.19230002164840698
7500,21.6,0.12105000019073486,0.194100022315979
8000,23.040000000000003,0.11946666240692139,0.19210004806518555
8500,24.48,0.11881667375564575,0.19090008735656738
9000,25.92,0.11759990453720093,0.19090008735656738
9500,27.360000000000003,0.11711657047271729,0.19190001487731934
10000,28.8,0.11653333902359009,0.19090008735656738
10500,30.240000000000002,0.116100013256073,0.19110000133514404
11000,31.680000000000003,0.11578333377838135,0.19139999151229858
11500,33.120000000000005,0.1151166558265686,0.19139999151229858
12000,34.56,0.11471664905548096,0.19139999151229858
12500,36.0,0.11448323726654053,0.1917000412940979
13000,37.440000000000005,0.11438333988189697,0.19200009107589722
13500,38.88,0.11331665515899658,0.1917000412940979
14000,40.32,0.11313331127166748,0.19179999828338623
14500,41.760000000000005,0.11288332939147949,0.19200009107589722
15000,43.2,0.11231666803359985,0.19190001487731934
15500,44.64,0.11256664991378784,0.19160008430480957
16000,46.080000000000005,0.11145001649856567,0.19179999828338623
16500,47.52,0.11119997501373291,0.1915000081062317
17000,48.96,0.11175000667572021,0.19160008430480957
17500,50.400000000000006,0.11056667566299438,0.19210004806518555
18000,51.84,0.11053323745727539,0.19179999828338623
18500,53.28,0.1098666787147522,0.1917000412940979
19000,54.720000000000006,0.10948330163955688,0.19220000505447388
19500,56.160000000000004,0.10909998416900635,0.19090008735656738
20000,57.6,0.10943335294723511,0.19179999828338623
20500,59.040000000000006,0.10936665534973145,0.19249999523162842
21000,60.480000000000004,0.10895001888275146,0.1917000412940979
21500,61.92,0.1084333062171936,0.1910000443458557
