move 0,move 25000,move 50000
0.00832381658256054,0.008349347859621048,0.008074049837887287
0.008043967187404633,0.008321931585669518,0.007978185079991817
0.008137491531670094,0.008451701141893864,0.008218822069466114
0.0077966731041669846,0.008444973267614841,0.0082241827622056
0.008259993977844715,0.008635279722511768,0.007764085661619902
0.00813648197799921,0.008478479459881783,0.008596152998507023
0.008290563710033894,0.008532034233212471,0.008046478033065796
0.008287678472697735,0.008310827426612377,0.008095181547105312
0.007965872064232826,0.008171126246452332,0.008210352621972561
0.007955964654684067,0.008418207988142967,0.008403333835303783
0.008481494151055813,0.008099202066659927,0.008168449625372887
0.008131721056997776,0.008491290733218193,0.008221515454351902
0.008068433031439781,0.008448634296655655,0.008139592595398426
0.007902531884610653,0.0084732910618186,0.008085761219263077
0.008028107695281506,0.008562379516661167,0.008056853897869587
0.008282518945634365,0.008772129192948341,0.008201608434319496
0.008011342026293278,0.008490742184221745,0.008010904304683208
0.007685547228902578,0.008366746827960014,0.008197483606636524
0.00825439766049385,0.00858902558684349,0.00812553334981203
0.008057255297899246,0.008716985583305359,0.008137502707540989
0.00803503580391407,0.00857785064727068,0.008047659881412983
0.008105640299618244,0.008699186146259308,0.00797006394714117
0.008187099359929562,0.008106069639325142,0.008420867845416069
0.00848202221095562,0.00824359804391861,0.008476650342345238
0.00825335830450058,0.008078504353761673,0.008193622343242168
0.008036925457417965,0.008166661486029625,0.008108454756438732
0.008080612868070602,0.008432986214756966,0.00828684400767088
0.007930825464427471,0.008064673282206059,0.007937774993479252
0.00814157072454691,0.008245040662586689,0.00810190849006176
0.0077690971083939075,0.00866603385657072,0.008498222567141056
0.00795719400048256,0.008121647872030735,0.008265795186161995
0.008346238173544407,0.008678585290908813,0.008134995587170124
0.008347462862730026,0.008253328502178192,0.00797742698341608
0.008269748650491238,0.00855996459722519,0.008394951932132244
0.008223380893468857,0.008024383336305618,0.008100008592009544
0.008177554234862328,0.007936091162264347,0.008183649741113186
0.007847077213227749,0.00856013223528862,0.007946617901325226
0.00824129581451416,0.008307713083922863,0.008331257849931717
0.007967917248606682,0.008220789022743702,0.007750827353447676
0.00801704078912735,0.008826200850307941,0.008441402576863766
0.007867411710321903,0.008772624656558037,0.008535921573638916
0.008269766345620155,0.008472439832985401,0.008183702826499939
0.00820530392229557,0.008346140384674072,0.007877077907323837
0.00762234628200531,0.008536526933312416,0.007554988842457533
0.008158168755471706,0.008235774002969265,0.007882636040449142
0.00800656620413065,0.008501055650413036,0.008061986416578293
0.008116332814097404,0.008551759645342827,0.007896372117102146
0.008325029164552689,0.008200373500585556,0.00815235823392868
0.008378255181014538,0.008704939857125282,0.008140036836266518
0.007935511879622936,0.0086196418851614,0.008247345685958862
0.008267752826213837,0.008266077376902103,0.007858777418732643
0.008448055014014244,0.008258999325335026,0.008548913523554802
0.008130913600325584,0.008788833394646645,0.00812766794115305
0.008324024267494678,0.00816186424344778,0.008477113209664822
