values,move 0,move 5000,move 10000,move 15000,move 20000,move 25000,move 30000,move 35000,move 40000,move 45000,move 50000
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.029187703138487e-07,0.0
-0.9,0.0,0.0,2.4087563109415324e-06,0.0,2.4087563109415324e-06,8.029187703138442e-07,0.0,0.0,0.0,2.4087563109415324e-06,8.029187703138442e-07
-0.88,8.029187703138442e-07,2.4087563109415324e-06,3.211675081255377e-06,2.4087563109415324e-06,2.4087563109415324e-06,3.211675081255377e-06,0.0,0.0,1.6058375406276884e-06,0.0,8.029187703138442e-07
-0.86,4.014593851569221e-06,8.029187703138442e-06,9.63502524376613e-06,5.62043139219691e-06,1.124086278439382e-05,5.62043139219691e-06,6.423350162510754e-06,4.817512621883065e-06,7.226268932824598e-06,5.62043139219691e-06,6.423350162510754e-06
-0.84,1.124086278439382e-05,1.2846700325021507e-05,2.489048187972917e-05,1.4452537865649195e-05,1.927005048753226e-05,5.62043139219691e-06,8.832106473452286e-06,1.2043781554707662e-05,1.2043781554707662e-05,2.0875888028159947e-05,1.6058375406276883e-05
-0.8200000000000001,2.328464433910161e-05,5.700723269228325e-05,2.890507573129855e-05,4.255469482663398e-05,3.3722588353181645e-05,2.0875888028160066e-05,3.211675081255394e-05,3.0510913271926248e-05,4.255469482663398e-05,2.8102156960984703e-05,3.211675081255394e-05
-0.8,4.0948857286006054e-05,9.233565858609208e-05,5.941598900322447e-05,7.788312072044288e-05,8.992690227515056e-05,5.5401395151655246e-05,7.226268932824598e-05,6.664225793604907e-05,6.985393301730445e-05,7.62772831798152e-05,7.46714456391875e-05
-0.78,9.474441489703361e-05,0.00014051078480492273,9.153273981577822e-05,0.00011963489677676278,0.00013408743464241198,8.992690227515056e-05,9.63502524376613e-05,0.00012766408447990123,0.00011401446538456587,0.00013649619095335353,0.00014211662234555044
-0.76,0.00017664212946904572,0.00024489022494572247,0.00017824796700967343,0.0001943063424159503,0.00022240849937693483,0.00013489035341272582,0.0001910946673346949,0.00020233553011908873,0.00023043768708007329,0.00021598514921442407,0.0002456931437160363
-0.74,0.00029467118870518086,0.0003974447913053529,0.00032999961459898996,0.00033642296476150073,0.00037737182204750677,0.00021919682429567946,0.000324379183206793,0.0003412404773833838,0.0003075178890302023,0.00039824771007566673,0.00038138641589907597
-0.72,0.00046408704924140193,0.0006246708033041707,0.0005323351447180787,0.0005138680130008603,0.0005813131897072232,0.0003693426343443683,0.0005427730887321586,0.0004986125563648972,0.0005106563379196049,0.0005259117945555679,0.00061824745314166
-0.7,0.000711386030498066,0.00091693323569841,0.000778028288434115,0.0007234298120527737,0.0008559114091545578,0.000541167251191531,0.0008502909777623611,0.0007844516385966258,0.0007499261314731304,0.000835035521126398,0.0009602908492953577
-0.6799999999999999,0.0010574440205033328,0.0013649619095335351,0.0011321154661425204,0.0010518235891111359,0.0012429182564458307,0.0008719697845608347,0.0012043781554707661,0.0011457650852378558,0.001138538816305031,0.0011979548053082554,0.0012854729512724644
-0.6599999999999999,0.0014621150807415102,0.0018635744658984322,0.0016034287843167468,0.0016243046723449068,0.0018202168523014847,0.0012172248557957878,0.0017206549247825679,0.0015383923639213253,0.0016459834791433805,0.0018001438830436386,0.0017431366503513556
-0.64,0.002086785884045693,0.0025902159530324757,0.00234291697177581,0.0022024061869708868,0.002512332832312032,0.001770435888542036,0.002402332960779035,0.002135763929034837,0.002181530298942727,0.0024922598630541864,0.002383865829061817
-0.62,0.00284474120322195,0.0035111637825824406,0.003106492722344263,0.0029916753381893832,0.003315251602625863,0.002385471666602431,0.0033056165773820965,0.0029916753381893832,0.002967587775079968,0.0035681710152747235,0.0032751056641101704
-0.6,0.003760068601379732,0.004783790033529883,0.004248243213730549,0.0038989735486440274,0.0045726223969373425,0.0032526239385413827,0.004395177348697983,0.0039607982939581935,0.00390780565511748,0.004625615035778056,0.004436929124754303
-0.5800000000000001,0.005028680258475634,0.006155175293225964,0.005754518826839353,0.00542853380609193,0.005949628088025618,0.004239411107257121,0.005688679487673617,0.005287220102516693,0.005257512108015081,0.00602510245243512,0.005717584563404917
-0.56,0.006524517927570298,0.008205026913837173,0.007355538854845126,0.007015101296232056,0.007601231998561163,0.005573059184748393,0.007728896083041064,0.006875393430197448,0.006818386197505165,0.007883056486941322,0.007313787078788807
-0.54,0.008598457111290958,0.010574440205033328,0.009592470548939495,0.0090938579925746,0.010042105060315248,0.007254371089785582,0.0097899885664367,0.009086631723641775,0.009011157359232273,0.010440352770390916,0.009294587685153061
-0.52,0.010994366721907468,0.013453706915378774,0.012151372669929718,0.01157969450546626,0.012991225703678,0.009187799488701319,0.012518306547963145,0.011510643491219271,0.011088308218034188,0.013358159581711427,0.01196830719029816
-0.5,0.013913779370768604,0.017451439472771405,0.01578377718682955,0.014985675929137588,0.016267937205328795,0.01194100795210749,0.015979689366786128,0.015093267044359643,0.01426545779216607,0.017198520060122544,0.015355018563481957
