values,move 0,move 5000,move 10000,move 15000,move 20000,move 25000,move 30000,move 35000,move 40000,move 45000,move 50000
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.029187703138442e-07,0.0,0.0,0.0
-0.54,0.0,8.029187703138442e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.029187703138442e-07,0.0
-0.52,0.0,8.029187703138442e-07,8.029187703138442e-07,8.029187703138442e-07,0.0,0.0,0.0,8.029187703138442e-07,1.6058375406276884e-06,8.029187703138442e-07,8.029187703138442e-07
-0.5,8.029187703138442e-07,1.6058375406276884e-06,8.029187703138442e-07,1.6058375406276884e-06,1.6058375406276884e-06,8.029187703138442e-07,8.029187703138442e-07,0.0,1.6058375406276884e-06,8.029187703138442e-07,3.211675081255377e-06
-0.48,7.226268932824598e-06,8.029187703138442e-06,1.2043781554707662e-05,8.029187703138442e-06,4.817512621883065e-06,5.62043139219691e-06,6.423350162510754e-06,6.423350162510754e-06,6.423350162510754e-06,2.4087563109415324e-06,1.2043781554707662e-05
-0.45999999999999996,2.4087563109415323e-05,3.131383204223992e-05,2.9707994501612235e-05,2.0875888028159947e-05,3.051091327192608e-05,2.5693400650043015e-05,2.72992381906707e-05,2.5693400650043015e-05,2.0875888028159947e-05,2.489048187972917e-05,2.649631942035686e-05
-0.43999999999999995,7.306560809855982e-05,7.708020195012904e-05,8.591230842358133e-05,8.029187703138441e-05,7.386852686887368e-05,7.46714456391875e-05,6.824809547667676e-05,9.474441489703361e-05,8.832106473452286e-05,9.072982104546438e-05,8.912398350483671e-05
-0.42000000000000004,0.000201532611348776,0.00021437931167379759,0.00023204352462070224,0.00020233553011908984,0.00023686103724258534,0.00023846687478321305,0.00021277347413316988,0.0001862771547128129,0.00021197055536285604,0.00021036471782222835,0.0002609486003520008
-0.4,0.0006013861589650693,0.0005861307023291063,0.0006158386968307184,0.0006262766408447984,0.0005941598900322447,0.000587736539869734,0.0005821161084775371,0.0006278824783854261,0.0006351087473182507,0.0005885394586400478,0.0006423350162510753
-0.38,0.0014958376690946916,0.001487808481391553,0.00151430480081191,0.001529560257447873,0.0014950347503243778,0.0014902172377024947,0.0015367865263806978,0.0014444508677946058,0.0014741588622962179,0.0014966405878650054,0.0014492683804164885
-0.36,0.0033794851042509705,0.0033947405608869335,0.0034043755861306994,0.0033786821854806565,0.003395543479657247,0.003423645636618231,0.003456565306201099,0.003461382818822982,0.0034573682249714128,0.0035448863709356218,0.0034678061689854926
-0.33999999999999997,0.007574735679140806,0.007626925399211206,0.00771123187009416,0.007644589612158111,0.00764860420600968,0.0075739327603704925,0.0076590421500237595,0.00768634138821443,0.0077947354222068,0.007490429208257853,0.0076622538251050155
-0.31999999999999995,0.015819105612723358,0.015850419444765597,0.016008594442517423,0.015796623887154568,0.01593633175318918,0.01581509101887179,0.0159258938091751,0.01611217096388791,0.0160013681735846,0.015964433910150164,0.015794215130843628
-0.29999999999999993,0.031557919348415335,0.03139813851312288,0.031736167315425,0.03161010906848573,0.031263248159710155,0.030887482175203273,0.031508941303426186,0.03145514574581516,0.03154507264809031,0.03149850335941211,0.031145219100474016
