Dt_W,"d2, avg","d2, std"
3.478877230447791,0.0,0.0
3219.3215224676546,97.83109887853846,67.8338684150467
6435.164167704862,194.36429595947266,103.86489832593185
9651.006812942067,291.48951253255206,138.84704701935814
12866.849458179275,387.24604178763724,170.10079336119725
16082.69210341648,481.61493714215004,200.3927821371634
19298.53474865369,574.5440756479899,229.85801183255796
22514.377393890896,667.981904795472,254.81699509072655
25730.220039128104,759.9416538783482,278.0860311449587
28946.062684365308,852.3961929100147,304.18639274296197
32161.905329602516,943.298106474035,330.6478974346097
35377.747974839716,1032.5260788647097,357.903753599494
38593.590620076924,1120.0745401093454,383.946450656033
41809.43326531413,1208.0492666391226,410.31456994154905
45025.27591055134,1294.2723259925842,435.81352032102177
48241.11855578855,1378.5955965556795,456.56317148976785
51456.961201025755,1460.9983372842112,474.11202640142363
54672.803846262956,1541.2959114449923,488.32369121915656
57888.64649150016,1621.8049570719402,502.5660451220454
61104.48913673737,1700.1446233199815,513.480205565027
64320.33178197458,1781.1383119780442,527.7165762384957
67536.17442721178,1859.8927954958197,539.1028122599979
70752.01707244899,1938.8612256731305,550.0350034058862
73967.8597176862,2018.051708984375,559.0095067459456
77183.7023629234,2094.890715422454,563.855896899047
80399.54500816061,2169.201639427329,564.0424274252847
83615.38765339782,2240.8738849346455,559.6239782576598
86831.23029863503,2309.7419409658396,548.9545027485381
90047.07294387223,2378.5117333984376,539.0152792832032
93262.91558910944,2444.3163140744578,523.1027908915828
96478.75823434665,2512.821403503418,510.3690858730147
99694.60087958386,2581.102263754987,494.12208971797855
102910.44352482106,2652.2993509043818,479.1392693048545
106126.28617005826,2723.463579644097,465.5213465479559
109342.12881529547,2794.644675514915,443.95412337447794
112557.97146053267,2869.033929869186,424.18387073598325
115773.81410576988,2943.5650344122023,402.25476422437316
118989.65675100709,3018.2313738567073,378.4985737887619
122205.4993962443,3093.0119445800783,355.06506866828107
125421.3420414815,3171.5423302283652,335.4565711727565
128637.18468671871,3254.1731021278783,321.05643552866275
131853.02733195593,3341.2448796452704,314.7390238603651
135068.86997719313,3429.1231621636284,307.48537328717913
138284.71262243035,3517.9129603794645,296.6349484167647
141500.55526766754,3607.6904296875,278.6779609197617
144716.39791290477,3702.8767533735795,264.21418272331834
147932.24055814196,3799.578712463379,255.9013646811446
151148.08320337918,3898.0089465725805,238.45292143617118
154363.92584861637,4002.866935221354,227.43990449660356
157579.7684938536,4109.911915746228,223.56065456842276
160795.6111390908,4224.554338727678,226.47501525916252
164011.453784328,4337.104835792824,225.8251408285148
167227.2964295652,4452.7201585036055,218.58213564992457
170443.1390748024,4566.2655078125,206.90585219426518
173658.98172003962,4677.449401855469,197.5135235579118
176874.8243652768,4786.035071331522,181.52014678443868
180090.66701051404,4891.508411754261,154.0067839140891
183306.50965575123,5000.326799665178,132.42631217441547
186522.35230098845,5112.804345703125,125.48903941446059
189738.19494622565,5222.292686060855,118.36485691861218
192954.03759146287,5343.789306640625,111.60743104548773
196169.88023670006,5463.18612132353,99.62209499813976
199385.72288193728,5588.553497314453,96.34087859371105
202601.56552717448,5712.283723958333,90.50933405835103
205817.4081724117,5833.35613141741,79.39651952154185
209033.2508176489,5951.514873798077,79.02505857345948
212249.09346288609,6065.941650390625,68.95282195132921
215464.9361081233,6188.254927201705,72.9879205997262
218680.7787533605,6307.063671875,71.85487138146176
221896.62139859772,6422.2734375,90.79419008418543
225112.46404383492,6530.687072753906,100.86613580852233
228328.30668907214,6650.213099888393,90.13525864341719
231544.14933430933,6763.223470052083,65.68928226799866
234759.99197954655,6893.062109375,68.48439293692526
237975.83462478375,7018.4422607421875,69.8444002401776
241191.67727002097,7135.015625,65.18686980750259
244407.51991525816,7228.021484375,0.8203125
247623.36256049538,7367.59326171875,0.0
