epoch,t_W,train_error,val_error,test_error
0,0.0,0.8969999998807907,0.9013999998569489,0.8994000107049942
1,0.6579569751000001,0.3019000291824341,0.3147000074386596,0.3145999908447265
2,1.3159139502000001,0.27920001745224,0.2944000959396362,0.2950000166893005
3,1.9738709253000002,0.2693400382995605,0.291200041770935,0.287600040435791
4,2.6318279004000003,0.2639600038528442,0.2887000441551208,0.2835000157356262
5,3.2897848755000005,0.2585400342941284,0.2836999893188476,0.2804000377655029
6,3.9477418506000004,0.2561200261116028,0.2832000851631164,0.2822000384330749
7,4.6056988257,0.2543801069259643,0.284600019454956,0.2790000438690185
8,5.2636558008000005,0.1820001006126403,0.2098000049591064,0.2111999988555908
9,5.921612775900001,0.1761600375175476,0.2050999999046325,0.2067000865936279
10,6.579569751000001,0.1741400361061096,0.2064000964164734,0.2039000391960144
11,7.2375267261000005,0.1740601062774658,0.2024000883102417,0.2032999992370605
12,7.895483701200001,0.1698800325393676,0.1999000906944275,0.2026000022888183
13,8.553440676300001,0.1660000085830688,0.1992000937461853,0.2036000490188598
14,9.2113976514,0.1632400155067443,0.1976000070571899,0.2014999985694885
15,9.869354626500002,0.1599400043487548,0.1980000138282776,0.2016000151634216
16,10.527311601600001,0.1617400050163269,0.1985000967979431,0.1996999979019165
17,11.1852685767,0.1619600057601928,0.2019000053405761,0.203000009059906
18,11.843225551800002,0.1553601026535034,0.1996999979019165,0.1991000175476074
19,12.501182526900001,0.1508600115776062,0.1920000910758972,0.1942999958992004
20,13.159139502000002,0.1499601006507873,0.195900022983551,0.2009000182151794
21,13.817096477100002,0.1523000001907348,0.198900043964386,0.1988000869750976
22,14.475053452200001,0.1502400040626526,0.1984000205993652,0.1990000009536743
23,15.133010427300002,0.1454001069068908,0.1948000192642212,0.1970000863075256
24,15.790967402400002,0.1455399990081787,0.1969000101089477,0.1982000470161438
25,16.448924377500003,0.1509400010108947,0.198900043964386,0.2034000158309936
26,17.106881352600002,0.139460027217865,0.1902000904083252,0.1953000426292419
27,17.7648383277,0.1398000121116638,0.1946000456809997,0.1970000863075256
28,18.4227953028,0.1378800272941589,0.1970000863075256,0.1969000101089477
29,19.0807522779,0.1340200304985046,0.1915000081062317,0.1952000856399536
30,19.738709253000003,0.1373000144958496,0.1939000487327575,0.1980000138282776
31,20.396666228100003,0.1376600265502929,0.1975000500679016,0.2014000415802002
32,21.054623203200002,0.1345199942588806,0.1924000978469848,0.1973000168800354
33,21.7125801783,0.1375200152397155,0.1944000124931335,0.1991000175476074
34,22.3705371534,0.1310999989509582,0.1931999921798706,0.1981000900268554
35,23.028494128500004,0.1262201070785522,0.1901000142097473,0.1933000087738037
36,23.686451103600003,0.126800000667572,0.1942000985145568,0.1960000395774841
37,24.344408078700003,0.1280000209808349,0.1980000138282776,0.1991000175476074
38,25.002365053800002,0.1259800195693969,0.1906999945640564,0.1955000162124633
