move,ptimes,train_error,test_error
0,21.773800083628863,0.903889401932247,0.9039746047928928
500,47.75844314207732,0.111563167120039,0.1124198235338553
1000,73.74308620052577,0.1109825140738394,0.112208048813045
1500,99.72772925897422,0.1106207255797926,0.1123905373970046
2000,125.71237231742268,0.1101462267542956,0.1122429707320407
2500,151.69701537587113,0.1100979183320305,0.1124006785685196
3000,177.6816584343196,0.1096558214339893,0.1124502421589568
3500,203.66630149276804,0.1094868546715588,0.1124536147108301
4000,229.6509445512165,0.1093363759573549,0.1125425979262217
4500,255.63558760966495,0.1092308180013788,0.1126834157621488
5000,281.62023066811344,0.1090409785683732,0.1128287276951596
5500,307.6048737265619,0.1088797623524442,0.1127622637432068
6000,333.58951678501035,0.1088165475157438,0.1127667684340849
6500,359.5741598434588,0.1088056168882758,0.1128647710429504
7000,385.55880290190726,0.1086010675135185,0.1130461250431835
7500,411.5434459603557,0.1085489829201833,0.1129841768415644
8000,437.52808901880417,0.10839293783647,0.1130968231009319
8500,463.5127320772526,0.1083221694352687,0.113475312362425
9000,489.4973751357011,0.1082158223725855,0.1134325037710368
9500,515.4820181941495,0.1081319346631062,0.1134550268761813
10000,541.4666612525979,0.1080538097958196,0.1135395147139206
10500,567.4513043110463,0.1079647535443655,0.1135136075317859
11000,593.4359473694948,0.1078281878508278,0.1135879450011998
11500,619.4205904279432,0.1077478800434619,0.1137084832880646
12000,645.4052334863917,0.1077534447031212,0.1136589188827201
12500,671.3898765448401,0.1074797187320655,0.1137118600308895
13000,697.3745196032886,0.1074485082717728,0.1139608110534027
13500,723.3591626617371,0.1073900662158848,0.114190605119802
14000,749.3438057201855,0.1072459449715097,0.1139833398628979
14500,775.328448778634,0.1071469511443865,0.1139439137186855
15000,801.3130918370824,0.1071121660788776,0.1140531721757724
15500,827.2977348955309,0.1069913023529807,0.1140047418884933
16000,853.2823779539793,0.1069328602752648,0.113983339513652
16500,879.2670210124278,0.1067730372960795,0.1141928636934608
17000,905.2516640708762,0.106634284791653,0.1144384233048185
17500,931.2363071293247,0.1066344852297334,0.1146547053940594
18000,957.2209501877732,0.1063842140283668,0.1145150203956291
18500,983.2055932462216,0.1062094781518681,0.1146851165685802
19000,1009.1902363046701,0.1061240007256856,0.1146761057898402
19500,1035.1748793631186,0.1059675589567632,0.1146670929156243
20000,1061.159522421567,0.1059437026706291,0.1146997617324814
20500,1087.1441654800155,0.1058099217698327,0.1146603390807285
21000,1113.128808538464,0.105732991003606,0.1150512129534035
21500,1139.1134515969125,0.1055536873609526,0.1150117866927757
22000,1165.098094655361,0.105417121980281,0.115145833347924
22500,1191.0827377138094,0.1051660546727362,0.1150027737021446
23000,1217.0673807722578,0.1050982695815037,0.1152303136186674
23500,1243.0520238307063,0.1050656668230658,0.1153531060554087
24000,1269.0366668891547,0.1047543692038743,0.1153350735548883
24500,1295.0213099476032,0.1047166016796836,0.1155671295709908
25000,1321.0059530060516,0.1045205977789009,0.11542519624345
25500,1346.9905960645,0.1044726913460181,0.1157068046741187
26000,1372.9752391229486,0.1043502399843419,0.1157541177235543
26500,1398.959882181397,0.1041906147656845,0.1157901643309742
27000,1424.9445252398455,0.1040695565607165,0.1158656349871307
27500,1450.929168298294,0.1038423440040787,0.1159208306344226
28000,1476.9138113567424,0.1037276412462233,0.1160864209523424
28500,1502.8984544151908,0.1037073671614052,0.116472789668478
29000,1528.8830974736393,0.1034459669826901,0.1163387440610677
29500,1554.8677405320877,0.1033141697189421,0.1165786767378449
30000,1580.8523835905362,0.1030748306293389,0.1165505164535716
30500,1606.8370266489846,0.1029454244489898,0.1166575326351448
31000,1632.821669707433,0.1029323033289983,0.1167499040020629
31500,1658.8063127658816,0.1027736743635614,0.1168850729009136
32000,1684.79095582433,0.102447665798536,0.1168062224751338
32500,1710.7755988827785,0.102300761922379,0.1169616718543693
33000,1736.760241941227,0.10213716270664,0.116941399173811
33500,1762.7448849996754,0.101989861264883,0.1171452860580757
34000,1788.7295280581238,0.101791871311434,0.11723764881026
34500,1814.7141711165723,0.1017052021197741,0.1174111299915239
35000,1840.6988141750207,0.1014479730365565,0.1177659628447145
35500,1866.6834572334692,0.1012962976601556,0.1175778426695615
36000,1892.6681002919177,0.1012342785616056,0.1178853650344535
36500,1918.652743350366,0.1009531946401693,0.1180363040184602
37000,1944.6373864088146,0.1009597556694643,0.1183370706858113
37500,1970.622029467263,0.1008416776458034,0.1183336855610832
38000,1996.6066725257115,0.1004999658398446,0.1182548376964405
38500,2022.59131558416,0.1002989938351675,0.1183032719418406
39000,2048.5759586426084,0.1000582611595746,0.1184271815000101
39500,2074.560601701057,0.0998785621923161,0.1189070461550727
40000,2100.5452447595053,0.0998364178958581,0.1187797642778605
40500,2126.5298878179537,0.0996559218838228,0.118877763277851
41000,2152.514530876402,0.0994432208317448,0.1191413482883945
41500,2178.4991739348507,0.0991712846953305,0.1191965519683435
42000,2204.483816993299,0.098902924110007,0.1192540023475885
42500,2230.4684600517476,0.0987812661478528,0.1196414973819628
43000,2256.453103110196,0.0987075165176065,0.1196583980927243
43500,2282.4377461686445,0.0984910405531991,0.1199343745829537
44000,2308.422389227093,0.0983479142960277,0.1199264881433919
44500,2334.4070322855414,0.0980914821411715,0.1201134852599352
45000,2360.39167534399,0.0979616749100387,0.1200841960962861
45500,2386.3763184024383,0.0976937116502085,0.1203500445699319
46000,2412.3609614608868,0.0974653076555114,0.1206226389622315
46500,2438.345604519335,0.0974416505632689,0.1209628244396299
47000,2464.3302475777837,0.097109084825206,0.1208873558789491
47500,2490.314890636232,0.0969397169246804,0.1210270387819036
48000,2536.7424638119687,0.0967335785098839,0.1211171501781791
48500,2562.727106870417,0.0965220705329557,0.1210642079822719
49000,2588.7117499288656,0.0963368026859825,0.1213627147953957
49500,2614.696392987314,0.0962449633298092,0.1216375726507976
50000,2640.6810360457625,0.095962488092482,0.1215992718935012
50500,2666.665679104211,0.0957132112744147,0.1219698714558035
51000,2692.6503221626594,0.0955301306894398,0.1220104261301457
51500,2718.634965221108,0.0953428756256471,0.1222728920402005
52000,2744.6196082795564,0.0951619778206804,0.1222965479828417
52500,2770.604251338005,0.0950780923740239,0.1224587522447109
53000,2796.5888943964533,0.094662432311452,0.1225150717655196
53500,2822.5735374549017,0.0944855135967372,0.1228744070976972
54000,2848.55818051335,0.0944554945454001,0.1230794253060594
54500,2874.5428235717986,0.0941143831369117,0.123099704273045
55000,2900.527466630247,0.0941608978391741,0.1231875667581334
55500,2926.5121096886955,0.0938402558967936,0.12342750641983
56000,2952.496752747144,0.0935716962994774,0.1235378948040306
56500,2978.4813958055925,0.0934243970768875,0.1238904708297923
57000,3004.466038864041,0.093228195735719,0.1238262639380991
57500,3030.4506819224894,0.0930415356633602,0.1240583173930645
58000,3056.435324980938,0.092983490867482,0.1239952306495979
58500,3082.4199680393863,0.0927129449264612,0.1241123881191015
59000,3108.4046110978347,0.092578168179898,0.1243669627001509
59500,3134.389254156283,0.0924258949889917,0.1245798608288168
60000,3160.3738972147316,0.0921925215734518,0.1244401785079389
60500,3186.35854027318,0.0917935603938531,0.1246249168179929
61000,3212.3431833316286,0.0918100623239297,0.1249831329332664
61500,3238.327826390077,0.0915605851769214,0.1250552240526303
62000,3264.3124694485255,0.0913554383369046,0.1252422074321657
62500,3290.297112506974,0.0911504888936178,0.1252703766804188
63000,3316.2817555654224,0.0909934465817059,0.1257006771629676
63500,3342.266398623871,0.090814741604845,0.1257018073229119
64000,3368.2510416823193,0.090620527153078,0.1259417401161044
64500,3394.2356847407677,0.0905400208212086,0.1260971876326948
65000,3420.220327799216,0.0902790152540546,0.1263855573488399
65500,3446.2049708576646,0.0900313307065516,0.126358518959023
66000,3472.189613916113,0.0898233987682033,0.1260633940109983
66500,3498.1742569745616,0.0897257941323914,0.1268688067793846
67000,3524.15890003301,0.08952164027869,0.1266795587725937
67500,3550.1435430914585,0.0892777330300305,0.1269183686235919
68000,3576.128186149907,0.0890304450513213,0.1270017323549837
68500,3602.1128292083554,0.0888521360247978,0.1271425359882414
69000,3628.097472266804,0.0887251104431925,0.1274827230954542
69500,3654.0821153252523,0.0885909303469816,0.1274635749869048
70000,3680.0667583837007,0.0884468095973716,0.1277147725922987
70500,3706.051401442149,0.088216024574649,0.1274421700509265
71000,3732.0360445005977,0.0879391137859784,0.1276956195943057
71500,3758.020687559046,0.0878560186829418,0.1278544518863782
72000,3784.0053306174946,0.0878490604154649,0.1278893755516037
72500,3809.989973675943,0.0876876488473499,0.1284424568293616
73000,3835.9746167343915,0.087259265135799,0.1283974011894315
73500,3861.95925979284,0.0870107817827374,0.1284649901790544
74000,3887.9439028512884,0.0868469841443584,0.1286384549457579
74500,3913.928545909737,0.0866241455078125,0.1286339630605653
75000,3939.9131889681853,0.0867008786080987,0.1290744000580161
75500,3965.8978320266338,0.0863748700357973,0.1289347173878923
76000,3991.882475085082,0.0861244010593509,0.1291059420909732
76500,4017.8671181435307,0.0860939863923704,0.1297153509221971
77000,4043.851761201979,0.0857610185994417,0.1296162254875525
77500,4069.8364042604276,0.0856671924557304,0.1296173450537026
78000,4095.821047318876,0.0856133248744299,0.1298054637154564
78500,4121.805690377325,0.0855596512046759,0.1300183718558401
79000,4147.790333435773,0.085314548749011,0.1300904584350064
79500,4173.774976494222,0.0851608864468289,0.1304689446697011
80000,4199.75961955267,0.0851521398726617,0.1305263971444219
80500,4225.744262611119,0.0847501955067855,0.1305252671008929
81000,4251.728905669567,0.0845637355596409,0.1305072460090741
81500,4277.713548728016,0.0846176052364171,0.1307066258741542
82000,4303.698191786464,0.0845114555413601,0.1310040125390514
82500,4329.682834844913,0.0842021447679144,0.1312822405016049
83000,4355.667477903361,0.084002566334675,0.1312405635835603
83500,4381.6521209618095,0.0838570545020047,0.1312484503723681
84000,4407.636764020258,0.0836296428096829,0.1310975039377808
84500,4433.621407078706,0.0836799379103467,0.1316382040968164
85000,4459.606050137155,0.0835115652516833,0.131635949248448
85500,4485.590693195603,0.083204240516352,0.1317902754526585
86000,4511.575336254052,0.0833594920768519,0.1318443407071754
86500,4537.5599793125,0.0830454140595975,0.1322194501990452
87000,4563.544622370949,0.0828386725625023,0.1321507387328893
87500,4589.529265429397,0.0826987317195744,0.1320358391385525
88000,4615.513908487846,0.0826569880809984,0.1321405991911888
88500,4641.498551546294,0.0824705246195662,0.1325123279821127
89000,4667.4831946047425,0.0823967782489489,0.1325968131422996
89500,4693.467837663191,0.0822443058641511,0.1324244658462703
90000,4719.452480721639,0.0820858761217095,0.1326981936581432
90500,4745.437123780088,0.0819340040616225,0.1330068360548466
91000,4771.421766838536,0.0816272780575673,0.1330958305625245
91500,4797.406409896985,0.0817141476145479,0.1332940887659788
92000,4823.391052955433,0.0815573065920034,0.1331611608620733
92500,4849.375696013882,0.0814388292492367,0.1333391410298645
93000,4875.36033907233,0.0812318938696989,0.13353852101136
93500,4901.344982130779,0.0810826070592156,0.1333672991022467
94000,4927.329625189227,0.0808623517586966,0.1335779523942619
94500,4953.3142682476755,0.080973273696145,0.1336860917508602
95000,4979.298911306124,0.080752820809721,0.1339248914737254
95500,5025.726484481861,0.0805148744402686,0.134013881557621
96000,5051.7111275403095,0.0802993906108895,0.1338753362651914
96500,5077.695770598758,0.0803530648554442,0.1342076336732134
97000,5103.680413657206,0.0800598564601386,0.1344250428956002
97500,5129.665056715655,0.0799682151409797,0.1341580734588205
98000,5155.649699774103,0.0800542909200885,0.1345940069295466
98500,5181.634342832552,0.0798902924216236,0.1343540807720273
99000,5207.618985891,0.079856497424771,0.1345196606125682
99500,5233.603628949449,0.0796133836338413,0.1348643533419817
100000,5259.588272007897,0.0796988630536361,0.134693133411929
100500,5285.572915066346,0.0791760543579584,0.1348598443437367
101000,5311.557558124794,0.079170291799528,0.1350198094733059
101500,5337.5422011832425,0.0790528104334953,0.1350828940048813
102000,5363.526844241691,0.0788717166360584,0.1347719838377088
102500,5389.511487300139,0.078768546169158,0.1351651179138571
103000,5415.496130358588,0.0787768942973343,0.1356168230995535
103500,5441.480773417036,0.0787786833680002,0.135779035044834
104000,5467.465416475485,0.0786858506398857,0.1355706376489251
104500,5493.450059533933,0.0785302022341056,0.1356596311088651
105000,5519.434702592382,0.0782642249323544,0.1357024344615638
105500,5545.41934565083,0.0779785730846924,0.1358421156182885
106000,5571.403988709279,0.0780483463022392,0.1357407318428158
106500,5597.388631767727,0.0778342509656795,0.1356911705806851
107000,5623.3732748261755,0.0778922993558808,0.1363073384854942
107500,5649.357917884624,0.0776430217156303,0.1361473796423524
108000,5675.342560943072,0.077505064291472,0.1362014561891555
108500,5701.327204001521,0.0775042705863597,0.1360291088931262
109000,5727.311847059969,0.0775020840374054,0.1365089744795113
109500,5753.296490118418,0.0774492061173077,0.1364188583102077
110000,5779.281133176866,0.077247237713891,0.1365878193173557
110500,5805.265776235315,0.0770625708537409,0.1363828112371266
111000,5831.250419293763,0.076996967974992,0.1368964766152203
111500,5857.235062352212,0.0767604150896659,0.1365979705005884
112000,5883.21970541066,0.0765409573941724,0.136653162073344
112500,5909.2043484691085,0.0764858927723253,0.1370339051354676
113000,5935.188991527557,0.0765188920631771,0.1369618095923215
113500,5961.173634586005,0.0761956656788243,0.1370158765930682
114000,5987.158277644454,0.0760845426120795,0.1372693253215402
114500,6013.142920702902,0.0760577054024906,0.1373166409321129
115000,6039.127563761351,0.0760817596383276,0.1374439294449985
115500,6065.112206819799,0.0760362391956732,0.1373470555990934
116000,6091.096849878248,0.0757344842131715,0.1373785987962037
116500,6117.081492936696,0.0756303173475316,0.1376714697107672
