move,t_W,train_error,test_error
0,0.0,0.9382000006735325,0.9393000006675721
500,1.4400000000000002,0.24178332090377808,0.2639000415802002
1000,2.8800000000000003,0.24215000867843628,0.25760000944137573
1500,4.32,0.21104997396469116,0.23870009183883667
2000,5.760000000000001,0.21256667375564575,0.2420000433921814
2500,7.2,0.16326665878295898,0.21580004692077637
3000,8.64,0.14126664400100708,0.19630008935928345
3500,10.08,0.135949969291687,0.19609999656677246
4000,11.520000000000001,0.13218331336975098,0.19280004501342773
4500,12.96,0.12871664762496948,0.18959999084472656
5000,14.4,0.12806665897369385,0.19420009851455688
5500,15.840000000000002,0.12228333950042725,0.18790000677108765
6000,17.28,0.12084990739822388,0.19040000438690186
6500,18.720000000000002,0.11914998292922974,0.19139999151229858
7000,20.16,0.11801666021347046,0.18810003995895386
7500,21.6,0.11716663837432861,0.1892000436782837
8000,23.040000000000003,0.11524999141693115,0.18980002403259277
8500,24.48,0.11453330516815186,0.18970000743865967
9000,25.92,0.11381667852401733,0.19010001420974731
9500,27.360000000000003,0.1129833459854126,0.18970000743865967
10000,28.8,0.11326664686203003,0.1885000467300415
10500,30.240000000000002,0.11146664619445801,0.18980002403259277
11000,31.680000000000003,0.11094999313354492,0.1910000443458557
11500,33.120000000000005,0.11038333177566528,0.1908000111579895
12000,34.56,0.10981667041778564,0.18959999084472656
12500,36.0,0.10873323678970337,0.1906999945640564
13000,37.440000000000005,0.10804998874664307,0.1917000412940979
13500,38.88,0.10774999856948853,0.1906999945640564
14000,40.32,0.10683333873748779,0.19090008735656738
14500,41.760000000000005,0.10600000619888306,0.19110000133514404
15000,43.2,0.10651665925979614,0.18980002403259277
15500,44.64,0.10471665859222412,0.19060009717941284
16000,46.080000000000005,0.10490000247955322,0.19050002098083496
16500,47.52,0.1032666563987732,0.1899999976158142
17000,48.96,0.10385000705718994,0.19090008735656738
17500,50.400000000000006,0.10275000333786011,0.18990004062652588
18000,51.84,0.10253334045410156,0.19090008735656738
18500,53.28,0.10198330879211426,0.19040000438690186
19000,54.720000000000006,0.10184997320175171,0.19240009784698486
19500,56.160000000000004,0.10014998912811279,0.1915000081062317
20000,57.6,0.10146665573120117,0.19230002164840698
20500,59.040000000000006,0.09881657361984242,0.19160008430480957
21000,60.480000000000004,0.09928333759307861,0.19130009412765503
21500,61.92,0.0999833345413208,0.1910000443458557
22000,63.36000000000001,0.09928333759307861,0.18990004062652588
22500,64.8,0.09799998998641957,0.19139999151229858
23000,66.24000000000001,0.09763330221176159,0.19010001420974731
23500,67.68,0.09724998474121083,0.19060009717941284
24000,69.12,0.09799998998641957,0.1906999945640564
24500,70.56,0.09735000133514404,0.19110000133514404
25000,72.0,0.0969499945640564,0.19060009717941284
25500,73.44,0.0963500142097472,0.19130009412765503
26000,74.88000000000001,0.09576666355133057,0.19160008430480957
26500,76.32000000000001,0.09498333930969238,0.19249999523162842
27000,77.76,0.09478330612182617,0.1906999945640564
27500,79.2,0.09388333559036244,0.19190001487731934
28000,80.64,0.09375,0.19030004739761353
28500,82.08,0.09310001134872437,0.19260001182556152
29000,83.52000000000001,0.09364998340606678,0.18910008668899536
29500,84.96000000000001,0.09273332357406616,0.19110000133514404
30000,86.4,0.09256666898727417,0.19249999523162842
30500,87.84,0.09213334321975719,0.19190001487731934
31000,89.28,0.09264999628067017,0.19300001859664917
31500,90.72,0.09144997596740723,0.19160008430480957
32000,92.16000000000001,0.091483235359192,0.1934000849723816
32500,93.60000000000001,0.09096664190292358,0.19370001554489136
33000,95.04,0.08978331089019775,0.1927000880241394
33500,96.48,0.08943331241607677,0.19010001420974731
34000,97.92,0.08884990215301525,0.1915000081062317
34500,99.36,0.08953332901000977,0.1948000192642212
35000,100.80000000000001,0.08848333358764637,0.19290000200271606
35500,102.24000000000001,0.08901667594909679,0.19310009479522705
36000,103.68,0.08791667222976685,0.1933000087738037
36500,105.12,0.08798331022262562,0.194100022315979
37000,106.56,0.08876663446426403,0.1927000880241394
37500,108.0,0.08779990673065197,0.19310009479522705
38000,109.44000000000001,0.08689999580383301,0.19200009107589722
38500,110.88000000000001,0.08693331480026245,0.1931999921798706
39000,112.32000000000001,0.08719998598098755,0.1940000057220459
39500,113.76,0.08556663990020763,0.19290000200271606
40000,115.2,0.0865333080291748,0.19220000505447388
40500,116.64,0.08633333444595337,0.19240009784698486
41000,118.08000000000001,0.08474999666214,0.19230002164840698
41500,119.52000000000001,0.08503323793411244,0.19249999523162842
42000,120.96000000000001,0.08526664972305298,0.19179999828338623
42500,122.4,0.084933340549469,0.19230002164840698
43000,123.84,0.08478331565856922,0.1934000849723816
43500,125.28,0.08410000801086437,0.19160008430480957
44000,126.72000000000001,0.08340001106262196,0.1908000111579895
44500,128.16,0.08329999446868896,0.1917000412940979
45000,129.6,0.08333331346511841,0.19300001859664917
45500,131.04000000000002,0.08248335123062123,0.19210004806518555
46000,132.48000000000002,0.08281666040420521,0.19420009851455688
46500,133.92000000000002,0.0816500186920166,0.1915000081062317
47000,135.36,0.08259999752044678,0.19030004739761353
47500,136.8,0.0817166566848756,0.19220000505447388
48000,138.24,0.08148330450057983,0.19120001792907715
48500,139.68,0.08156657218933105,0.19190001487731934
49000,141.12,0.08028334379196156,0.19210004806518555
49500,142.56,0.08036667108535755,0.19210004806518555
50000,144.0,0.08099997043609619,0.19230002164840698
50500,145.44,0.08033335208892822,0.1902000904083252
51000,146.88,0.07951664924621582,0.19290000200271606
51500,148.32000000000002,0.08034998178482056,0.19010001420974731
52000,149.76000000000002,0.07934999465942383,0.1910000443458557
