move,t_W,train_error,test_error
0,0.0,0.9257166683673859,0.9237000048160553
500,1.4400000000000002,0.3114166855812073,0.32520002126693726
1000,2.8800000000000003,0.2773333191871643,0.2962999939918518
1500,4.32,0.2645166516304016,0.29350000619888306
2000,5.760000000000001,0.16381657123565674,0.20210009813308716
2500,7.2,0.15314990282058716,0.1967000961303711
3000,8.64,0.14621657133102417,0.19370001554489136
3500,10.08,0.14356666803359985,0.1933000087738037
4000,11.520000000000001,0.14208334684371948,0.19310009479522705
4500,12.96,0.14114999771118164,0.19380009174346924
5000,14.4,0.1402999758720398,0.19280004501342773
5500,15.840000000000002,0.13868331909179688,0.19420009851455688
6000,17.28,0.13778334856033325,0.19460004568099976
6500,18.720000000000002,0.13749998807907104,0.19310009479522705
7000,20.16,0.13671666383743286,0.194100022315979
7500,21.6,0.13673335313796997,0.19249999523162842
8000,23.040000000000003,0.13638323545455933,0.19429999589920044
8500,24.48,0.13638323545455933,0.19310009479522705
9000,25.92,0.13609999418258667,0.19260001182556152
9500,27.360000000000003,0.13596665859222412,0.19350004196166992
10000,28.8,0.13571667671203613,0.19290000200271606
10500,30.240000000000002,0.1349666714668274,0.19310009479522705
11000,31.680000000000003,0.13489997386932373,0.19249999523162842
11500,33.120000000000005,0.1342666745185852,0.1933000087738037
12000,34.56,0.133899986743927,0.1933000087738037
12500,36.0,0.13359999656677246,0.19280004501342773
13000,37.440000000000005,0.13393330574035645,0.1934000849723816
13500,38.88,0.13341665267944336,0.19350004196166992
14000,40.32,0.13331663608551025,0.19240009784698486
14500,41.760000000000005,0.13268333673477173,0.1933000087738037
15000,43.2,0.13278335332870483,0.19310009479522705
15500,44.64,0.13209998607635498,0.19300001859664917
16000,46.080000000000005,0.13236665725708008,0.19190001487731934
16500,47.52,0.1321166753768921,0.19190001487731934
17000,48.96,0.13233333826065063,0.19190001487731934
17500,50.400000000000006,0.13233333826065063,0.19200009107589722
18000,51.84,0.13144999742507935,0.19260001182556152
18500,53.28,0.1311333179473877,0.19310009479522705
19000,54.720000000000006,0.1313333511352539,0.19230002164840698
19500,56.160000000000004,0.13076657056808472,0.19249999523162842
20000,57.6,0.13058334589004517,0.19290000200271606
20500,59.040000000000006,0.1305999755859375,0.19350004196166992
21000,60.480000000000004,0.1305166482925415,0.19220000505447388
21500,61.92,0.13056665658950806,0.19280004501342773
22000,63.36000000000001,0.12993323802947998,0.19290000200271606
22500,64.8,0.12976664304733276,0.19240009784698486
23000,66.24000000000001,0.13040000200271606,0.19220000505447388
23500,67.68,0.12948334217071533,0.19230002164840698
24000,69.12,0.1297166347503662,0.19300001859664917
24500,70.56,0.12889999151229858,0.19200009107589722
25000,72.0,0.12909990549087524,0.19220000505447388
25500,73.44,0.1289166808128357,0.19230002164840698
26000,74.88000000000001,0.12871664762496948,0.1933000087738037
26500,76.32000000000001,0.12870001792907715,0.19280004501342773
27000,77.76,0.1286165714263916,0.1927000880241394
27500,79.2,0.1284666657447815,0.19230002164840698
28000,80.64,0.1283666491508484,0.19290000200271606
28500,82.08,0.12844997644424438,0.19120001792907715
29000,83.52000000000001,0.12806665897369385,0.19190001487731934
29500,84.96000000000001,0.1275833249092102,0.19230002164840698
30000,86.4,0.1273999810218811,0.19200009107589722
30500,87.84,0.12734997272491455,0.19190001487731934
31000,89.28,0.12734997272491455,0.1917000412940979
31500,90.72,0.12685000896453857,0.19240009784698486
32000,92.16000000000001,0.12725001573562622,0.19190001487731934
32500,93.60000000000001,0.12669998407363892,0.19200009107589722
33000,95.04,0.1272333264350891,0.1915000081062317
33500,96.48,0.1267833113670349,0.19050002098083496
34000,97.92,0.12676668167114258,0.19130009412765503
34500,99.36,0.12694990634918213,0.19110000133514404
35000,100.80000000000001,0.12624996900558472,0.19050002098083496
35500,102.24000000000001,0.12586665153503418,0.1931999921798706
36000,103.68,0.1260666847229004,0.19200009107589722
36500,105.12,0.12613332271575928,0.19090008735656738
37000,106.56,0.12546664476394653,0.19179999828338623
37500,108.0,0.1258000135421753,0.19090008735656738
38000,109.44000000000001,0.12548333406448364,0.19179999828338623
38500,110.88000000000001,0.12528330087661743,0.19249999523162842
39000,112.32000000000001,0.12586665153503418,0.19190001487731934
39500,113.76,0.12528330087661743,0.19210004806518555
40000,115.2,0.12511664628982544,0.19310009479522705
40500,116.64,0.12523335218429565,0.19179999828338623
41000,118.08000000000001,0.12540000677108765,0.19179999828338623
41500,119.52000000000001,0.1244499683380127,0.19130009412765503
42000,120.96000000000001,0.12396663427352905,0.19210004806518555
42500,122.4,0.12413334846496582,0.19120001792907715
43000,123.84,0.12449997663497925,0.19300001859664917
43500,125.28,0.12388330698013306,0.19160008430480957
44000,126.72000000000001,0.12374997138977051,0.19249999523162842
44500,128.16,0.12369990348815918,0.19240009784698486
45000,129.6,0.12366664409637451,0.19240009784698486
45500,131.04000000000002,0.12366664409637451,0.19240009784698486
46000,132.48000000000002,0.12319999933242798,0.19240009784698486
46500,133.92000000000002,0.12376666069030762,0.19220000505447388
47000,135.36,0.12379997968673706,0.19130009412765503
47500,136.8,0.12328332662582397,0.19190001487731934
48000,138.24,0.12360000610351562,0.1917000412940979
48500,139.68,0.12308335304260254,0.19260001182556152
49000,141.12,0.12330001592636108,0.19210004806518555
49500,142.56,0.12301665544509888,0.19090008735656738
50000,144.0,0.12258332967758179,0.19260001182556152
50500,145.44,0.12319999933242798,0.19139999151229858
51000,146.88,0.12239998579025269,0.19249999523162842
51500,148.32000000000002,0.12286657094955444,0.19290000200271606
52000,149.76000000000002,0.12204998731613159,0.19179999828338623
