move,t_W,train_error,test_error
0,0.0,0.8977333307266236,0.8994000107049942
500,1.4400000000000002,0.3869333267211914,0.3937000036239624
1000,2.8800000000000003,0.3816666603088379,0.39570003747940063
1500,4.32,0.34310001134872437,0.3670000433921814
2000,5.760000000000001,0.3276500105857849,0.3610000014305115
2500,7.2,0.3223499059677124,0.36320000886917114
3000,8.64,0.30891668796539307,0.3546000123023987
3500,10.08,0.3072166442871094,0.35269999504089355
4000,11.520000000000001,0.3054666519165039,0.3539000153541565
4500,12.96,0.3052833080291748,0.35470008850097656
5000,14.4,0.3034999966621399,0.35290008783340454
5500,15.840000000000002,0.30303335189819336,0.35409998893737793
6000,17.28,0.30274999141693115,0.3544999957084656
6500,18.720000000000002,0.1839333176612854,0.24390000104904175
7000,20.16,0.1384333372116089,0.20000004768371582
7500,21.6,0.13561666011810303,0.1957000494003296
8000,23.040000000000003,0.1308666467666626,0.19190001487731934
8500,24.48,0.13048332929611206,0.19130009412765503
9000,25.92,0.12914997339248657,0.19090008735656738
9500,27.360000000000003,0.1295832395553589,0.1910000443458557
10000,28.8,0.12905001640319824,0.19130009412765503
10500,30.240000000000002,0.12835001945495605,0.1915000081062317
11000,31.680000000000003,0.1282166838645935,0.19090008735656738
11500,33.120000000000005,0.12833333015441895,0.19220000505447388
12000,34.56,0.12709999084472656,0.19179999828338623
12500,36.0,0.12708330154418945,0.19200009107589722
13000,37.440000000000005,0.12674999237060547,0.1906999945640564
13500,38.88,0.12690001726150513,0.1917000412940979
14000,40.32,0.12694990634918213,0.19139999151229858
14500,41.760000000000005,0.12698334455490112,0.19249999523162842
15000,43.2,0.12621665000915527,0.19190001487731934
15500,44.64,0.12583333253860474,0.19260001182556152
16000,46.080000000000005,0.1258499026298523,0.1915000081062317
16500,47.52,0.12548333406448364,0.19179999828338623
17000,48.96,0.12483334541320801,0.19260001182556152
17500,50.400000000000006,0.1247333288192749,0.19220000505447388
18000,51.84,0.12496668100357056,0.19190001487731934
