Dt_W,"d2, avg","d2, std"
3.478877230447791,0.0,0.0
3219.3215224676546,68.06972885131836,72.28427035528641
6435.164167704862,136.01613917495266,100.40828558733239
9651.006812942067,203.84257491754025,123.73616963488541
12866.849458179275,273.0374585967703,135.99172049077674
16082.69210341648,343.6597587267558,147.9115636041859
19298.53474865369,414.2267499421772,156.31025125816066
22514.377393890896,486.2638030356549,169.5761989134808
25730.220039128104,558.2828085294334,182.7001807254108
28946.062684365308,630.2609866598378,196.6014695791081
32161.905329602516,702.1959848927928,205.42132230890044
35377.747974839716,775.6851192898221,213.9579276649725
38593.590620076924,847.5570822726474,223.22879622525087
41809.43326531413,919.390348261053,236.5654403020149
45025.27591055134,991.2190323752918,247.52012545902465
48241.11855578855,1062.9951093806776,257.97209288475204
51456.961201025755,1134.6862354951747,268.71302068024227
54672.803846262956,1206.3175281343006,275.93671318139536
57888.64649150016,1277.9258047816265,284.04723326929195
61104.48913673737,1351.2517417349466,289.4348019743849
64320.33178197458,1426.388390811873,290.5844627086187
67536.17442721178,1499.7659454345703,294.52970436915024
70752.01707244899,1574.9771249505538,299.07191825324463
73967.8597176862,1650.2318858611277,301.6673797049565
77183.7023629234,1725.596682065493,301.12606170422936
80399.54500816061,1801.0293635318153,297.11663078322306
83615.38765339782,1878.4414591471354,284.78410586817813
86831.23029863503,1955.9802955421242,277.36266271839605
90047.07294387223,2033.6409795055652,271.9293270619825
93262.91558910944,2109.436526828342,271.89103837517894
96478.75823434665,2185.363996478873,265.3380610437003
99694.60087958386,2261.37069266183,252.35737484440938
102910.44352482106,2337.486437811368,236.28886183063696
106126.28617005826,2411.57593311983,226.0729128548702
109342.12881529547,2485.7191836229013,217.8301279183521
112557.97146053267,2559.8991421786222,217.2987473386816
115773.81410576988,2634.1434044471152,210.02850954495153
118989.65675100709,2708.444116592407,196.28068117405016
122205.4993962443,2780.5348772321427,177.22033250634138
125421.3420414815,2852.62636639995,172.56382220176303
128637.18468671871,2924.7159804047133,168.59417563226557
131853.02733195593,2994.3762003580728,175.52259221218765
135068.86997719313,3063.9399910619704,186.14633890134658
138284.71262243035,3133.3550730738148,190.6006529284528
141500.55526766754,3202.7159016927085,188.63581942817888
144716.39791290477,3274.520067487444,190.35614748765767
147932.24055814196,3346.364248934659,195.90373810057335
151148.08320337918,3418.2353832103586,199.02177132120912
154363.92584861637,3490.0966151975235,205.1546249551967
157579.7684938536,3564.6659405048076,207.32799441585993
160795.6111390908,3636.5140261182596,213.0763735482662
164011.453784328,3708.39005859375,218.3688343380415
167227.2964295652,3780.2741848692604,226.32222335808592
170443.1390748024,3849.2022806803384,238.9251953087461
173658.98172003962,3921.0291670129654,248.0679765172992
176874.8243652768,3992.878359587296,258.50841670759417
180090.66701051404,4064.7441243489584,269.7281556568618
183306.50965575123,4136.6163773970175,278.126265322287
186522.35230098845,4211.760441269986,280.15121188342096
189738.19494622565,4287.067132859003,278.3509816120543
192954.03759146287,4362.593976276677,280.6682838671633
196169.88023670006,4438.30952758789,279.89719985015614
199385.72288193728,4510.592936197917,288.1459175947888
202601.56552717448,4583.110769171464,296.06120305642224
205817.4081724117,4655.7763144003375,292.43439748729674
209033.2508176489,4724.616536458333,290.38183301398476
212249.09346288609,4793.226590401786,290.3483565876495
215464.9361081233,4861.717342601103,297.7369209184531
218680.7787533605,4930.122869318182,300.40417079574064
221896.62139859772,4998.419342041016,297.5072624186992
225112.46404383492,5062.029060609879,289.9128735701156
228328.30668907214,5125.236442057291,273.80001397948126
231544.14933430933,5187.889294854526,259.28137114662235
234759.99197954655,5249.88201032366,257.44816435804563
237975.83462478375,5306.061179832176,262.82471988417876
241191.67727002097,5361.0289963942305,264.1709601339012
244407.51991525816,5414.79759765625,251.14674482862299
247623.36256049538,5473.01904296875,232.81929201971494
250839.20520573258,5530.206139605978,218.39103545200987
254055.04785096977,5586.256436434659,212.2711547783061
257270.890496207,5640.913039434524,211.00768587085824
260486.7331414442,5700.9833984375,206.8773521892362
263702.5757866814,5752.764108758223,201.85268758947365
266918.4184319186,5810.237358940973,202.1718248031946
270134.26107715577,5874.480238970588,199.9750362111106
273350.103722393,5938.025115966797,180.06782050069188
276565.9463676302,6000.861783854167,177.05466554447688
279781.78901286743,6062.49626813616,144.4922956044825
282997.6316581046,6122.870267427885,114.85317021568942
286213.4743033418,6181.753011067708,106.02368571070036
289429.31694857904,6238.673872514205,110.06521939842071
292645.15959381626,6279.06318359375,103.83123549400013
295861.0022390534,6328.427897135417,68.70589180543588
299076.84488429065,6372.473083496094,46.481032206408315
302292.6875295279,6409.699428013393,48.280060566520596
305508.53017476504,6436.444254557292,66.04664970741365
308724.37282000226,6473.82607421875,111.64873977262529
311940.2154652395,6494.845458984375,115.64051490023861
315156.0581104767,6529.877766927083,113.67169619574946
318371.90075571387,6599.9423828125,68.2255859375
321587.7434009511,6668.16796875,0.0
