Dt_W,"d2, avg","d2, std"
1.330869966340684,0.0,0.0
53.300156083237596,61775.7774609375,89.33031352107808
105.2694422001345,104007.16927083333,159.42350624356013
157.23872831703142,132718.22895408163,204.85082442443104
209.20801443392833,152313.71568943298,233.0689128283937
261.17730055082524,165756.6521809896,268.56664032344133
313.14658666772215,175005.8199013158,269.51589418349204
365.11587278461906,181382.46559175532,267.0805206035235
417.08515890151597,185792.68867607528,284.06400636522665
469.0544450184129,188895.46976902173,270.5630592844498
521.0237311353097,191055.29326923078,263.1246379145808
572.9930172522066,192573.00694444444,252.28891441855595
624.9623033691036,193668.80231741574,243.38802037347017
676.9315894860005,194448.16619318182,234.14077229665637
728.9008756028974,195014.8938577586,264.09507010821244
780.8701617197943,195422.2093023256,251.6799786884962
832.8394478366912,195725.5856617647,258.2387796099087
884.8087339535881,195994.72005208334,263.69694901951834
936.778020070485,196185.36634036145,265.6692600689031
988.7473061873819,196338.48990091463,295.19918546992983
1040.716592304279,196460.55324074073,279.5439906451006
1092.6858784211759,196543.5697265625,278.9597080568072
1144.6551645380728,196600.41099683545,302.76826521058405
1196.6244506549697,196633.01021634616,307.35779968126417
1248.5937367718666,196639.59699675324,290.4916606291819
1300.5630228887635,196659.47923519736,269.6439094188743
1352.5323090056604,196674.989375,274.7786287755488
1404.5015951225573,196672.1110641892,251.9014979000015
1456.4708812394542,196689.15625,269.55334338426223
1508.4401673563511,196690.04947916666,297.00196764087616
1560.409453473248,196675.1740757042,258.69859987013336
1612.378739590145,196665.49241071427,250.9702040674939
1664.3480257070419,196648.4438405797,282.35125845835165
1716.3173118239388,196640.7833180147,292.65572429054134
1768.2865979408357,196652.05597014926,307.95339521709764
1820.2558840577326,196649.671875,290.38955389300753
1872.2251701746295,196642.2875,287.86330256397895
1924.1944562915264,196649.40087890625,296.9469946140414
1976.1637424084233,196642.0322420635,295.9847803298133
2028.1330285253202,196627.8931451613,313.81912836819754
2080.102314642217,196628.39395491802,304.50316687977903
2132.071600759114,196655.54973958334,301.81328756513716
2184.040886876011,196673.58527542374,295.7710367718216
2236.010172992908,196678.6751077586,294.66550170431276
2287.979459109805,196671.67708333334,276.5792655912471
2339.9487452267017,196700.19112723213,249.47582892461912
2391.9180313435986,196732.88693181818,252.14497964037432
2443.8873174604955,196723.73958333334,251.6056816264146
2495.8566035773924,196712.1789504717,260.07636174187826
2547.8258896942893,196716.01382211538,268.6526852694549
2599.7951758111863,196731.16513480392,253.5498598964264
2651.764461928083,196734.0253125,243.8895642092457
2703.73374804498,196738.62850765305,241.8563145217763
2755.703034161877,196774.0126953125,245.4403126400596
2807.672320278774,196759.33111702127,226.9037175488002
2859.641606395671,196735.0995244565,224.28329024344416
2911.6108925125677,196716.00590277778,203.85233379586327
2963.5801786294646,196690.81001420456,218.4287508444824
3015.5494647463615,196683.81686046513,201.71172512462516
3067.5187508632584,196677.76264880953,224.8251314213668
3119.4880369801554,196654.5430640244,243.213935303462
3171.4573230970523,196651.7328125,249.6117881289848
3223.426609213949,196670.17267628206,237.07314381364938
3275.395895330846,196704.26891447368,239.9619745791153
3327.365181447743,196738.6748310811,194.8000414194179
3379.33446756464,196749.33550347222,180.61233996799803
3431.303753681537,196737.38928571428,227.1656984212668
3483.2730397984337,196737.64108455883,215.52159943129257
3535.2423259153306,196738.44223484848,248.36717914047298
3587.2116120322275,196750.408203125,317.14807330656936
3639.1808981491245,196759.9914314516,293.5411218431471
3691.1501842660214,196772.08020833333,378.00810862694067
3743.1194703829183,196764.0899784483,387.9707847936934
3795.088756499815,196767.6177455357,291.66858609175
3847.058042616712,196786.16145833334,333.267938572267
3899.027328733609,196801.56310096153,319.84638510364096
3950.996614850506,196819.613125,304.001605068748
4002.965900967403,196845.234375,300.0157918545988
4054.9351870842997,196861.16644021738,321.69389403582596
4106.904473201196,196866.3643465909,340.69215245153856
4158.873759318093,196861.74404761905,343.2673291007492
4210.84304543499,196825.71484375,243.91718159334417
4262.812331551887,196814.99013157896,322.0342169850794
4314.781617668784,196802.82552083334,336.5174454752862
4366.750903785681,196796.2637867647,316.9043788084538
4418.720189902578,196787.015625,340.92890278495076
4470.689476019475,196784.73645833333,331.7096923254412
4522.6587621363715,196779.50669642858,378.1533332117602
4574.628048253268,196804.51802884616,332.3351288644258
4626.597334370165,196786.77083333334,334.38340370653964
4678.566620487062,196766.73579545456,353.01449506973347
4730.535906603959,196732.3359375,339.6431846560457
4782.505192720856,196700.53298611112,434.33738848733884
4834.474478837753,196690.36328125,420.35106691306976
4886.44376495465,196726.38169642858,432.7767788296462
4938.413051071547,196661.20572916666,398.8190602969899
4990.382337188444,196674.80625,248.82609322168915
5042.351623305341,196864.2109375,195.06719360767113
5094.3209094222375,197071.828125,117.33574581556019
5146.290195539134,197213.7890625,80.8203125
5198.259481656031,197750.75,0.0
