values,move 0,move 5000,move 10000,move 15000,move 20000,move 25000,move 30000,move 35000,move 40000,move 45000,move 50000
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.43999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,8.029187703138442e-07,0.0,0.0,0.0,0.0,0.0,8.029187703138442e-07,0.0,0.0,0.0,8.029187703138442e-07
-0.33999999999999997,0.0,1.6058375406276884e-06,8.029187703138442e-07,0.0,1.6058375406276884e-06,1.6058375406276884e-06,8.029187703138442e-07,1.6058375406276884e-06,0.0,0.0,0.0
-0.31999999999999995,4.014593851569221e-06,6.423350162510754e-06,4.014593851569221e-06,4.014593851569221e-06,4.014593851569221e-06,4.014593851569221e-06,7.226268932824598e-06,4.014593851569221e-06,6.423350162510754e-06,3.211675081255377e-06,4.817512621883065e-06
-0.29999999999999993,2.489048187972917e-05,3.131383204223992e-05,2.649631942035686e-05,2.0875888028159947e-05,3.2919669582867614e-05,3.45255071234953e-05,3.211675081255377e-05,2.5693400650043015e-05,3.211675081255377e-05,2.9707994501612235e-05,3.131383204223992e-05
-0.28,0.00011963489677676344,0.0001437224598861789,0.00013729910972366813,0.00014934289127837584,0.0001364961909533543,0.00013569327218304042,0.0001364961909533543,0.00014452537865649275,0.0001292699220205296,0.0001453282974268066,0.0001389049472642958
-0.26,0.000612627021749463,0.000643940853791703,0.0005973715651135,0.0006037949152760107,0.0006102182654385216,0.0006005832401947554,0.0006407291787104476,0.000587736539869734,0.0006110211842088354,0.0005973715651135,0.0006206562094526016
-0.24,0.002442478899294714,0.002364595778574271,0.0023943037730758832,0.0024593401934713045,0.0024280263614290644,0.002334084865302345,0.0024079533921712187,0.002329267352680462,0.0023798512352102338,0.0023533549157898773,0.002451311005768166
-0.21999999999999997,0.008302983003815462,0.00818736270089027,0.008448311301242269,0.008303785922585776,0.008294953816112324,0.008311012191518601,0.008257216633907574,0.008165683894091795,0.008297362572423266,0.008210647345229371,0.008257216633907574
-0.19999999999999996,0.02543967831862384,0.025507123495330204,0.02557537159080688,0.02564924011767575,0.02540033529887846,0.025492670957464554,0.025685371462339877,0.025576977428347508,0.025624349635796025,0.025417999511825363,0.025440481237394154
