move 0,move 25000,move 50000
0.006377291399985552,0.00639356067404151,0.006633703131228685
0.006377486512064934,0.006448634900152683,0.006799532566219568
0.0064444029703736305,0.006693148519843817,0.00650739623233676
0.006062852218747139,0.006402031518518925,0.006730744615197182
0.006425769068300724,0.006430983077734709,0.006641255225986242
0.006551647558808327,0.0066990298219025135,0.006679370999336243
0.006620749831199646,0.006784610450267792,0.0066344477236270905
0.006513629574328661,0.006586593110114336,0.006140807177871466
0.006408323533833027,0.006510324310511351,0.006666596978902817
0.006448536179959774,0.006523888558149338,0.006667729467153549
0.006630982272326946,0.006562327034771442,0.006573297083377838
0.006834468804299831,0.006531591061502695,0.006710379850119352
0.006344720721244812,0.006744920741766691,0.006739258766174316
0.006574246101081371,0.006472698412835598,0.006614586804062128
0.00642084376886487,0.006618991494178772,0.00660982308909297
0.00652779545634985,0.00654438603669405,0.00674357870593667
0.0064470465295016766,0.0067295292392373085,0.006447046063840389
0.006379522383213043,0.0064023202285170555,0.006508031394332647
0.006485970225185156,0.006490723229944706,0.006701510399580002
0.0062972125597298145,0.00633684266358614,0.006385240238159895
0.006305682938545942,0.006504115182906389,0.006329069379717112
0.006379963830113411,0.006589085794985294,0.006789036560803652
0.006261203903704882,0.0065764011815190315,0.006246070843189955
0.0064821005798876286,0.0063940309919416904,0.006403334904462099
0.006409155670553446,0.006549140904098749,0.006656282115727663
0.006402142811566591,0.006561724003404379,0.006756410002708435
0.006436238996684551,0.006580966524779797,0.006358551327139139
0.006342057138681412,0.006522411480545998,0.006605013273656368
0.006419171579182148,0.006511031650006771,0.00663002859801054
0.006449966691434383,0.00644412636756897,0.006753162480890751
0.006506429519504309,0.006597350351512432,0.0067308503203094006
0.006512080784887075,0.006380094215273857,0.006573956459760666
0.006384719628840685,0.006384672597050667,0.006685358937829733
0.0063697961159050465,0.006549357436597347,0.00679036183282733
0.00621565617620945,0.0065921638160943985,0.006486530881375074
0.006410812959074974,0.006670729722827673,0.0064293695613741875
0.006754810456186533,0.006599354557693005,0.0067196316085755825
0.0064570168033242226,0.00640141312032938,0.006363274995237589
0.006736391689628363,0.0063636270351707935,0.006510214880108833
0.006541342940181494,0.006712046917527914,0.0065413787961006165
0.006443317513912916,0.006230696104466915,0.0067458124831318855
0.00646497868001461,0.006645040586590767,0.006515611428767443
