"move 0, avg","move 0, err","move 5000, avg","move 5000, err","move 10000, avg","move 10000, err","move 15000, avg","move 15000, err","move 20000, avg","move 20000, err","move 25000, avg","move 25000, err","move 30000, avg","move 30000, err","move 35000, avg","move 35000, err","move 40000, avg","move 40000, err","move 45000, avg","move 45000, err","move 49000, avg","move 49000, err"
0.9990008473396301,1.665183333443565e-07,0.9990008473396301,1.6668839464273333e-07,0.9990008473396301,1.6739163299916981e-07,0.9990009665489197,7.644912614068744e-08,0.9990008473396301,1.6726225737784262e-07,0.9990009665489197,7.654483624719433e-08,0.9990008473396301,1.6600711205683183e-07,0.9990008473396301,1.6599273067186004e-07,0.9990009665489197,7.547475888713961e-08,0.9990008473396301,1.6672944980200555e-07,0.9990008473396301,1.6715279116397141e-07
-0.0011463731061667204,0.03116450272500515,-0.0013292207149788737,0.03146802634000778,-0.0012756212381646037,0.031193559989333153,-0.000941854901611805,0.03139762952923775,-0.0007251966162584722,0.03155570477247238,-0.0004903750959783792,0.03176342323422432,-0.0008942903368733823,0.03158094361424446,-0.0011435397900640965,0.031779926270246506,-0.0009911885717883706,0.03173444792628288,-0.0002948524779640138,0.03138019144535065,-0.000991076696664095,0.031791701912879944
-0.0012390470365062356,0.03192812204360962,-0.0010053410660475492,0.03163813427090645,-0.0014393763849511743,0.032192692160606384,-0.001538437674753368,0.03149909898638725,-0.000749344821088016,0.03163309767842293,-0.0010732776718214154,0.0313219353556633,-0.0008155270479619503,0.03162946179509163,-0.0007724261377006769,0.031595565378665924,-0.0009367397869937122,0.03176623955368996,-0.0013311492512002587,0.03124585933983326,-0.0005176054546609521,0.031372833997011185
-0.0008380840299651027,0.031516216695308685,-0.0012051778612658381,0.03198099881410599,-0.000598228769376874,0.03138246014714241,-0.00076504290336743,0.03175877034664154,-0.000966304331086576,0.031408265233039856,-0.0007485346286557615,0.03128977119922638,-0.0011451164027675986,0.03154217079281807,-0.0008119496633298695,0.03153849393129349,-0.001018723240122199,0.03179004788398743,-0.001058206777088344,0.03164031356573105,-0.000746753066778183,0.03193004056811333
-0.0010315969120711088,0.03164378181099892,-0.0011850041337311268,0.031659238040447235,-0.0011886388529092073,0.031296927481889725,-0.001347969053313136,0.03155798092484474,-0.0009446595213375986,0.031588077545166016,-0.0007933573215268552,0.03151741996407509,-0.0017376202158629894,0.031548596918582916,-0.0007592927431687713,0.031579479575157166,-0.0011965999146923423,0.031820159405469894,-0.0015257030026987195,0.031746022403240204,-0.001063050702214241,0.03158121556043625
-0.0005927205784246325,0.03195105865597725,-0.0008737245225347579,0.03120138868689537,-0.0009186399402096868,0.0315929651260376,-0.001227205735631287,0.03183520957827568,-0.0006710431771352887,0.03177652880549431,-0.0013287480687722564,0.03196368366479874,-0.0012666623806580901,0.03196704015135765,-0.0011071693152189255,0.031401582062244415,-0.001073987688869238,0.03161780163645744,-0.0007536694756709039,0.03164985030889511,-0.0008180083241313696,0.03177270293235779
-0.0013710057828575373,0.03158619999885559,-0.0008367628324776888,0.03161466866731644,-0.0012982854386791587,0.03171980381011963,-0.0008899321546778083,0.03167160227894783,-0.0012737712822854519,0.03144565224647522,-0.0011136612156406045,0.03122406080365181,-0.0011805056128650904,0.031696729362010956,-0.0014457051875069737,0.031919755041599274,-0.0011911139590665698,0.03126298636198044,-0.0016237954841926694,0.03145013749599457,-0.0006025102338753641,0.03191730007529259
-0.0008713534334674478,0.03171553090214729,-0.0009482110035605729,0.03148838132619858,-0.0011645274935290217,0.03171189874410629,-0.0009842372965067625,0.0318378284573555,-0.0006828128243796527,0.031660810112953186,-0.0012194568989798427,0.031660523265600204,-0.0013370722299441695,0.031771693378686905,-0.0011452557519078255,0.031058702617883682,-0.0013586939312517643,0.03164235129952431,-0.0004915085155516863,0.031538158655166626,-0.0013460919726639986,0.031772829592227936
-0.0011379714123904705,0.03153933212161064,-0.0011015922063961625,0.03186910226941109,-0.001057467539794743,0.03187636286020279,-0.0009743163245730102,0.03120550885796547,-0.0006107083172537386,0.03155246376991272,-0.0001881511852843687,0.03164159134030342,-0.0006177348550409079,0.0316307507455349,-0.001123066060245037,0.03161844238638878,-0.0010596136562526226,0.031284086406230927,-0.0014273273991420865,0.03121568076312542,-0.0009649189305491745,0.03176004812121391
-0.0013916241005063057,0.03164313733577728,-0.0007038302137516439,0.03206711262464523,-0.0005972226499579847,0.031710851937532425,-0.0007801178726367652,0.03160608559846878,-0.0008570592617616057,0.0314348079264164,-0.0008098321850411594,0.032121893018484116,-0.000919981743209064,0.03181400150060654,-0.0010048614349216223,0.031875595450401306,-0.0008242019102908671,0.03166281804442406,-0.0008091138442978263,0.03202327340841293,-0.0012257914058864117,0.031267326325178146
-0.0006809239857830107,0.031719230115413666,-0.0012580527691170573,0.03175957873463631,-0.0005917253438383341,0.031386032700538635,-0.00021463258599396795,0.03196373209357262,-0.0015465570613741875,0.03168967738747597,-0.0008837258792482316,0.03192571550607681,-0.0009428912890143692,0.031154897063970566,-0.0007104757823981345,0.03215645253658295,-0.0013758351560682058,0.03167391195893288,-0.0011316725285723805,0.031777508556842804,-0.0010481537319719791,0.03146131709218025
-0.001147296978160739,0.03198828175663948,-0.0009275561897084117,0.03186235949397087,-0.0014431560412049294,0.031833864748477936,-0.00018365182040724903,0.03132166340947151,-0.0011783069930970669,0.031551532447338104,-0.0012426410103216767,0.031409475952386856,-0.0012293310137465596,0.032217059284448624,-0.001159713719971478,0.03145946189761162,-0.0006861661677248776,0.03129148110747337,-0.0001463687076466158,0.031467027962207794,-0.0010886151576414704,0.032105568796396255
-0.0014060518005862832,0.03203503042459488,-0.0014286189107224345,0.031681694090366364,-0.0007136436179280281,0.031853824853897095,-0.0012305800337344408,0.0314783975481987,-0.0008822294767014682,0.032176561653614044,-0.0009657630580477417,0.03138697147369385,-0.0013022009516134858,0.03151369094848633,-0.0008350840653292835,0.03152097389101982,-0.0010704369051381946,0.03185396268963814,-0.0007101992378011346,0.031392741948366165,-0.000714787864126265,0.03136441111564636
-0.0005618811119347811,0.031618207693099976,-0.0007511737057939172,0.03165019303560257,-0.000955046562012285,0.031892914324998856,-0.0008125659078359604,0.03163393586874008,-0.0009370752377435565,0.0314263217151165,-0.000745234196074307,0.03151783347129822,-0.0011154841631650925,0.03194708377122879,-0.000918183708563447,0.031625717878341675,-0.0009110424434766173,0.031588874757289886,-0.0013056660536676645,0.031566958874464035,-0.0012285010889172554,0.03180253878235817
-0.001361181028187275,0.031808748841285706,-0.000606643792707473,0.031938716769218445,-0.0007996541098691523,0.03192173317074776,-0.0007972209714353085,0.03201419487595558,-0.0009379623807035387,0.03148304298520088,-0.0012258398346602917,0.03176599740982056,-0.0013115248875692487,0.03189334273338318,-0.0009223298984579742,0.03211206570267677,-0.0008645009947940707,0.031685832887887955,-0.0009922269964590669,0.031568653881549835,-0.0010257592657580972,0.0314856618642807
-0.0007850176771171391,0.03167906776070595,-0.0013796905986964703,0.03159156069159508,-0.0006671139854006469,0.031839996576309204,-0.0007420072215609252,0.03178456425666809,-0.001050171791575849,0.03197718784213066,-0.0006848931079730392,0.03192558139562607,-0.0007434462895616889,0.03190629556775093,-0.0005999358836561441,0.03167567774653435,-0.0012170150876045227,0.03159991651773453,-0.0010012766579166055,0.0318441316485405,-0.001034124055877328,0.031778957694768906
-0.0013426590012386441,0.03168237954378128,-0.0009323089616373181,0.03194744512438774,-0.0005464534042403102,0.03194218873977661,-0.0009958662558346987,0.031885698437690735,-0.0010637196246534586,0.03192218393087387,-0.0011128276819363236,0.03156786784529686,-0.0007996117928996682,0.031952086836099625,-0.0014483403647318482,0.0319296233355999,-0.001135525875724852,0.031568679958581924,-0.0009943885961547494,0.032120853662490845,-0.0013559794751927257,0.03168383613228798
-0.0011877998476848006,0.03184787556529045,-0.0010375914862379432,0.0316830612719059,-0.0009623222285881639,0.03172995150089264,-0.0015144349308684468,0.03192715346813202,-0.0010694421362131834,0.031880371272563934,-0.000886346388142556,0.031774915754795074,-0.0013671572087332606,0.031451620161533356,-0.0006264132680371404,0.0316380150616169,-0.0008499558898620307,0.031547095626592636,-0.0009175483719445765,0.03175473213195801,-0.000822056143078953,0.03205359727144241
-0.0012116411235183477,0.03192957490682602,-0.0010272262152284384,0.03189433366060257,-0.0014003991382196546,0.031925663352012634,-0.0012998997699469328,0.03172038868069649,-0.0008740027551539242,0.03192761540412903,-0.0009282637038268149,0.031944818794727325,-0.000887937203515321,0.03186465799808502,-0.0011958015384152532,0.031845953315496445,-0.0008990768110379577,0.031823888421058655,-0.0005473732016980648,0.03184652701020241,-0.0010408462258055806,0.03184753283858299
-0.000956545234657824,0.03221095725893974,-0.0014353361912071705,0.031810466200113297,-0.0013230651384219527,0.03169344738125801,-0.001109431148506701,0.03175977244973183,-0.00032738884328864515,0.031656116247177124,-0.0009081522584892809,0.032035671174526215,-0.000798957422375679,0.03189941495656967,-0.0017100314144045115,0.0319722518324852,-0.0015175527660176158,0.0318605937063694,-0.0008952790522016585,0.031672991812229156,-0.0006589314434677362,0.03197457641363144
-0.0012652366422116756,0.031905267387628555,-0.0008418956422246993,0.03206029161810875,-0.0010373005643486977,0.03211987763643265,-0.0013019050238654017,0.03217282518744469,-0.0013708174228668213,0.03186992183327675,-0.0012357033556327224,0.03189447149634361,-0.0011688071535900235,0.032003071159124374,-0.001259465585462749,0.031844720244407654,-0.0008788098348304629,0.031853582710027695,-0.0006896396516822278,0.03185822814702988,-0.001178447506390512,0.03212983161211014
-0.0006315450300462544,0.03139537572860718,-0.000852406257763505,0.03195055201649666,-0.0009208857081830502,0.031683895736932755,-0.0011404113611206412,0.03204237297177315,-0.0006860940484330058,0.03178703039884567,-0.0010223955614492297,0.03192128241062164,-0.0013008583337068558,0.03160040080547333,-0.0012151373084634542,0.03229636326432228,-0.0017702295444905758,0.03193608671426773,-0.0007542194216512144,0.03162825480103493,-0.0013371380046010017,0.03210199624300003
-0.0015173159772530198,0.03198089078068733,-0.0005743271321989596,0.031776703894138336,-0.0006214095046743751,0.03202557936310768,-0.000844051013700664,0.03218900412321091,-0.0009193303994834423,0.03150220960378647,-0.0007981074741110206,0.031836774200201035,-0.0010649367468431592,0.03204745054244995,-0.0009749262826517224,0.031749043613672256,-0.0004462661745492369,0.03167882189154625,-0.0012741604587063193,0.031941793859004974,-0.0011352846631780267,0.031907882541418076
-0.0008592449012212455,0.03190993890166283,-0.0007739678840152919,0.03206472471356392,-0.0004932963638566434,0.031533531844615936,-0.0016336843837052584,0.032196689397096634,-0.0007622640114277601,0.03209446370601654,-0.0011202750029042363,0.03196461871266365,-0.00027364856214262545,0.03176015242934227,-0.0011734234867617488,0.031989362090826035,-0.0007771036471240222,0.03196434676647186,-0.0009242550004273653,0.031345903873443604,-0.0007956972112879157,0.03201374411582947
-0.0009045363403856754,0.03201041370630264,-0.001142274122685194,0.03183796629309654,-0.0008215593406930566,0.03195682913064957,-0.001398097607307136,0.032179608941078186,-0.0011370694264769554,0.03178141266107559,-0.001500684767961502,0.031685102730989456,-0.00120829651132226,0.03204820305109024,-0.0012200034689158201,0.032050829380750656,-0.0010585031704977155,0.031866349279880524,-0.0018060550792142749,0.03167085349559784,-0.0011299590114504099,0.031918082386255264
-0.0007896801689639688,0.03188939392566681,-0.0004803260962944478,0.03189849853515625,-0.0009431563667021692,0.03191843628883362,-0.0007794623961672187,0.03177257627248764,-0.0009539269376546144,0.03218924254179001,-0.0012295308988541365,0.03187818080186844,-0.0008293763967230916,0.03200763463973999,-0.0005598239367827773,0.03208862990140915,-0.0006613378063775599,0.032130755484104156,-0.0014140404528006911,0.0323345884680748,-0.0012459374265745282,0.031698182225227356
-0.000593939796090126,0.03209572285413742,-0.0012911545345559716,0.032198041677474976,-0.00182332715485245,0.0319535993039608,-0.0008421422680839896,0.0320175401866436,-0.00047339932643808424,0.0323270820081234,-0.0010889453114941716,0.03199782222509384,-0.0007956292829476297,0.031951189041137695,-0.0008773727458901703,0.03231656178832054,-0.001268033403903246,0.03201312571763992,-0.0008827706915326416,0.03261440619826317,-0.0009309947490692139,0.0313556008040905
