move,t_W,train_error,test_error
0,0.0,0.9382000006735325,0.9393000006675721
500,1.4400000000000002,0.2556166648864746,0.2660999894142151
1000,2.8800000000000003,0.22456663846969604,0.24210000038146973
1500,4.32,0.20959997177124023,0.23629999160766602
2000,5.760000000000001,0.20195001363754272,0.2323000431060791
2500,7.2,0.1865166425704956,0.22699999809265137
3000,8.64,0.17533332109451294,0.2190999984741211
3500,10.08,0.17721664905548096,0.22120004892349243
4000,11.520000000000001,0.17641663551330566,0.2226000428199768
4500,12.96,0.14828330278396606,0.198900043964386
5000,14.4,0.14125001430511475,0.19380009174346924
5500,15.840000000000002,0.14083331823349,0.19429999589920044
6000,17.28,0.140583336353302,0.1948000192642212
6500,18.720000000000002,0.13946664333343506,0.1940000057220459
7000,20.16,0.13894999027252197,0.1933000087738037
7500,21.6,0.13873332738876343,0.19310009479522705
8000,23.040000000000003,0.13793331384658813,0.19290000200271606
8500,24.48,0.1381666660308838,0.19179999828338623
9000,25.92,0.1373666524887085,0.19300001859664917
9500,27.360000000000003,0.13725000619888306,0.1927000880241394
10000,28.8,0.1369333267211914,0.1934000849723816
10500,30.240000000000002,0.13599997758865356,0.1917000412940979
11000,31.680000000000003,0.13606667518615723,0.19200009107589722
11500,33.120000000000005,0.13586664199829102,0.19260001182556152
12000,34.56,0.13578331470489502,0.19240009784698486
12500,36.0,0.13538330793380737,0.19260001182556152
13000,37.440000000000005,0.13501667976379395,0.19240009784698486
13500,38.88,0.13464999198913574,0.19240009784698486
14000,40.32,0.13473331928253174,0.1915000081062317
14500,41.760000000000005,0.13374990224838257,0.19190001487731934
15000,43.2,0.13396668434143066,0.1927000880241394
15500,44.64,0.13383334875106812,0.1906999945640564
16000,46.080000000000005,0.1334499716758728,0.1915000081062317
16500,47.52,0.1337999701499939,0.19160008430480957
17000,48.96,0.13273334503173828,0.1917000412940979
17500,50.400000000000006,0.13246667385101318,0.19190001487731934
18000,51.84,0.13233333826065063,0.19200009107589722
18500,53.28,0.13228332996368408,0.19200009107589722
19000,54.720000000000006,0.13248330354690552,0.19160008430480957
19500,56.160000000000004,0.13181668519973755,0.1917000412940979
20000,57.6,0.1313333511352539,0.19200009107589722
20500,59.040000000000006,0.13178330659866333,0.19130009412765503
21000,60.480000000000004,0.13128334283828735,0.19160008430480957
21500,61.92,0.1311165690422058,0.1910000443458557
22000,63.36000000000001,0.1306999921798706,0.19280004501342773
22500,64.8,0.1308666467666626,0.1906999945640564
23000,66.24000000000001,0.13018333911895752,0.19090008735656738
23500,67.68,0.13010001182556152,0.19110000133514404
24000,69.12,0.13019996881484985,0.19179999828338623
24500,70.56,0.12976664304733276,0.1908000111579895
25000,72.0,0.12993323802947998,0.19130009412765503
25500,73.44,0.1297166347503662,0.1915000081062317
26000,74.88000000000001,0.12943333387374878,0.19200009107589722
26500,76.32000000000001,0.12879997491836548,0.19130009412765503
27000,77.76,0.1289665699005127,0.19060009717941284
27500,79.2,0.12879997491836548,0.19130009412765503
28000,80.64,0.12871664762496948,0.19040000438690186
28500,82.08,0.1279333233833313,0.19190001487731934
29000,83.52000000000001,0.12813323736190796,0.19210004806518555
29500,84.96000000000001,0.12791657447814941,0.19139999151229858
30000,86.4,0.12755000591278076,0.19179999828338623
30500,87.84,0.1278333067893982,0.19210004806518555
31000,89.28,0.12753331661224365,0.19190001487731934
31500,90.72,0.12733334302902222,0.19139999151229858
32000,92.16000000000001,0.127133309841156,0.1917000412940979
32500,93.60000000000001,0.12711668014526367,0.1917000412940979
33000,95.04,0.12671667337417603,0.1915000081062317
33500,96.48,0.12658333778381348,0.19220000505447388
34000,97.92,0.12641668319702148,0.19290000200271606
34500,99.36,0.12631666660308838,0.19310009479522705
35000,100.80000000000001,0.1258833408355713,0.1933000087738037
35500,102.24000000000001,0.12593334913253784,0.1910000443458557
36000,103.68,0.1258833408355713,0.19249999523162842
36500,105.12,0.1255333423614502,0.19190001487731934
37000,106.56,0.12576663494110107,0.19179999828338623
37500,108.0,0.12566667795181274,0.19090008735656738
38000,109.44000000000001,0.12523335218429565,0.1917000412940979
38500,110.88000000000001,0.1251833438873291,0.19249999523162842
39000,112.32000000000001,0.12483334541320801,0.19160008430480957
39500,113.76,0.12458330392837524,0.19130009412765503
40000,115.2,0.12426668405532837,0.19220000505447388
40500,116.64,0.1244666576385498,0.19190001487731934
41000,118.08000000000001,0.12470000982284546,0.19200009107589722
41500,119.52000000000001,0.12411665916442871,0.19230002164840698
42000,120.96000000000001,0.12395000457763672,0.19179999828338623
42500,122.4,0.12398332357406616,0.1915000081062317
43000,123.84,0.12393331527709961,0.19260001182556152
43500,125.28,0.12358331680297852,0.19220000505447388
44000,126.72000000000001,0.12333333492279053,0.19110000133514404
44500,128.16,0.12321656942367554,0.19200009107589722
45000,129.6,0.12296664714813232,0.19190001487731934
45500,131.04000000000002,0.12331664562225342,0.19139999151229858
46000,132.48000000000002,0.12276667356491089,0.19120001792907715
46500,133.92000000000002,0.12321656942367554,0.19139999151229858
47000,135.36,0.12253332138061523,0.19210004806518555
47500,136.8,0.1220666766166687,0.19130009412765503
48000,138.24,0.12239998579025269,0.19160008430480957
48500,139.68,0.1218000054359436,0.19240009784698486
49000,141.12,0.12194997072219849,0.19179999828338623
49500,142.56,0.12146663665771484,0.19179999828338623
50000,144.0,0.12154990434646606,0.19230002164840698
50500,145.44,0.12185001373291016,0.19260001182556152
51000,146.88,0.12105000019073486,0.19200009107589722
51500,148.32000000000002,0.12031668424606323,0.19220000505447388
52000,149.76000000000002,0.12093323469161987,0.19200009107589722
