move,t_W,train_error,test_error
0,0.0,0.9257166683673859,0.9237000048160553
500,1.4400000000000002,0.30923330783843994,0.3223000168800354
1000,2.8800000000000003,0.27346664667129517,0.29820001125335693
1500,4.32,0.27034997940063477,0.30660009384155273
2000,5.760000000000001,0.25441664457321167,0.2924000024795532
2500,7.2,0.24514997005462646,0.2864000201225281
3000,8.64,0.23616665601730347,0.28450000286102295
3500,10.08,0.2338833212852478,0.28250008821487427
4000,11.520000000000001,0.14254999160766602,0.194100022315979
4500,12.96,0.14126664400100708,0.19630008935928345
5000,14.4,0.13889998197555542,0.19490009546279907
5500,15.840000000000002,0.13508331775665283,0.194100022315979
6000,17.28,0.13463330268859863,0.19210004806518555
6500,18.720000000000002,0.13304990530014038,0.19390004873275757
7000,20.16,0.1324332356452942,0.19240009784698486
7500,21.6,0.1323000192642212,0.19200009107589722
8000,23.040000000000003,0.13231664896011353,0.19300001859664917
8500,24.48,0.13126665353775024,0.1931999921798706
9000,25.92,0.1308000087738037,0.1927000880241394
9500,27.360000000000003,0.13026666641235352,0.1917000412940979
10000,28.8,0.12944990396499634,0.19260001182556152
10500,30.240000000000002,0.12963330745697021,0.1917000412940979
11000,31.680000000000003,0.12913334369659424,0.1927000880241394
11500,33.120000000000005,0.12909990549087524,0.19260001182556152
12000,34.56,0.1282833218574524,0.19190001487731934
12500,36.0,0.1280333399772644,0.1933000087738037
13000,37.440000000000005,0.1283666491508484,0.1927000880241394
13500,38.88,0.12796664237976074,0.19179999828338623
14000,40.32,0.12734997272491455,0.19310009479522705
14500,41.760000000000005,0.1274166703224182,0.19260001182556152
15000,43.2,0.1267833113670349,0.19260001182556152
15500,44.64,0.12651664018630981,0.19210004806518555
16000,46.080000000000005,0.1261500120162964,0.19380009174346924
16500,47.52,0.12556666135787964,0.19249999523162842
17000,48.96,0.12470000982284546,0.19249999523162842
17500,50.400000000000006,0.1251833438873291,0.1910000443458557
18000,51.84,0.12483334541320801,0.19280004501342773
18500,53.28,0.12478333711624146,0.19190001487731934
19000,54.720000000000006,0.12395000457763672,0.19280004501342773
19500,56.160000000000004,0.12411665916442871,0.19110000133514404
20000,57.6,0.12363332509994507,0.19249999523162842
20500,59.040000000000006,0.12354999780654907,0.19220000505447388
21000,60.480000000000004,0.12365001440048218,0.19240009784698486
21500,61.92,0.12291663885116577,0.1934000849723816
22000,63.36000000000001,0.12290000915527344,0.19370001554489136
22500,64.8,0.12246668338775635,0.1902000904083252
23000,66.24000000000001,0.12264996767044067,0.19280004501342773
23500,67.68,0.12234997749328613,0.19370001554489136
24000,69.12,0.1218000054359436,0.1934000849723816
24500,70.56,0.12211668491363525,0.19179999828338623
25000,72.0,0.12136667966842651,0.19260001182556152
25500,73.44,0.12128335237503052,0.19230002164840698
26000,74.88000000000001,0.12148332595825195,0.1927000880241394
26500,76.32000000000001,0.12129998207092285,0.19300001859664917
27000,77.76,0.12063330411911011,0.1917000412940979
27500,79.2,0.12031668424606323,0.19280004501342773
